demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
203,316.8258414835159,282.0,181.0,159.0,191.0,174.23076923076923,41.69708326629189
210,233.04738922160604,203.0,282.0,181.0,159.0,175.64423076923077,20.722217102901226
210,325.65167307528577,210.0,203.0,282.0,181.0,176.8461538461539,16.785812477972087
188,316.06531566758287,210.0,210.0,203.0,282.0,177.50961538461542,12.003254006889136
199,297.8261133900001,188.0,210.0,210.0,203.0,178.22115384615387,7.111721176831773
173,176.8307052438284,199.0,188.0,210.0,210.0,179.1826923076923,20.31313706472318
171,389.19186137525804,173.0,199.0,188.0,210.0,179.24038461538458,3.838270901332532
142,345.5434381918775,171.0,173.0,199.0,188.0,178.9423076923077,1.2864816610187697
153,426.50300918267294,142.0,171.0,173.0,199.0,180.61538461538464,1.718666779679392
166,185.67930082261287,153.0,142.0,171.0,173.0,182.88461538461542,-30.916455793967685
180,278.72289816077785,166.0,153.0,142.0,171.0,184.23076923076923,4.256113940077541
145,264.64129452282185,180.0,166.0,153.0,142.0,185.3942307692308,11.72996572540482
159,248.08211729070683,145.0,180.0,166.0,153.0,186.11538461538458,-24.70964402772941
188,321.68791847972136,159.0,145.0,180.0,166.0,186.5480769230769,1.9725410909311933
151,225.23396782581676,188.0,159.0,145.0,180.0,187.11538461538456,12.302162107027721
171,284.4278330801852,151.0,188.0,159.0,145.0,187.88461538461542,-3.650268158927057
137,172.84445377371605,171.0,151.0,188.0,159.0,188.84615384615387,21.38448106229765
156,270.53253819311095,137.0,171.0,151.0,188.0,190.00000000000003,-24.47179535750327
149,283.7387196792672,156.0,137.0,171.0,151.0,191.50961538461542,-9.888969213201626
131,222.5065362892579,149.0,156.0,137.0,171.0,193.13461538461544,-7.453578966335896
172,167.81574636460223,131.0,149.0,156.0,137.0,194.34615384615384,-17.540624616906037
92,229.90341897508011,172.0,131.0,149.0,156.0,195.39423076923072,-21.948183087988987
104,181.68071007556847,92.0,172.0,131.0,149.0,183.0613166501389,-33.99797531424648
212,182.74981586967687,104.0,92.0,172.0,131.0,183.11806490487228,-43.783424229214944
191,166.5802264329663,212.0,104.0,92.0,172.0,183.17481315960566,-26.392591092901373
235,177.75829421796763,191.0,212.0,104.0,92.0,183.2315614143391,-29.187213466245066
228,172.12768811348565,235.0,191.0,212.0,104.0,183.28830966907245,-3.9048474998741365
240,179.0198613680544,228.0,235.0,191.0,212.0,183.34505792380588,-4.5487635847852905
184,344.72824105169923,240.0,228.0,235.0,191.0,183.40180617853932,12.038089561072832
260,158.85920697142106,184.0,240.0,228.0,235.0,183.4585544332727,-14.054544472556262
199,153.64198921366315,260.0,184.0,240.0,228.0,183.5153026880061,18.936154827148
155,164.34521740351278,199.0,260.0,184.0,240.0,183.57205094273948,1.9557002806984196
178,265.8666190081093,155.0,199.0,260.0,184.0,183.62879919747292,-21.03116452216144
256,282.94747548703083,178.0,155.0,199.0,260.0,183.6855474522063,-14.601362658354617
232,162.7416312101989,256.0,178.0,155.0,199.0,183.7422957069397,-24.229253102240094
259,167.57959067602346,232.0,256.0,178.0,155.0,183.79904396167308,-22.257784571766628
213,159.2683967975012,259.0,232.0,256.0,178.0,183.85579221640648,25.95406857409147
213,160.4930369064086,213.0,259.0,232.0,256.0,183.91254047113992,-2.9943346903068564
169,156.08491401674925,213.0,213.0,259.0,232.0,183.9692887258733,4.925851788884587
231,217.84603761884497,169.0,213.0,213.0,259.0,184.02603698060668,-23.727679680641927
198,150.28471606655762,231.0,169.0,213.0,213.0,184.08278523534008,17.013019619062305
220,151.13176240892216,198.0,231.0,169.0,213.0,184.13953349007352,4.333847123894762
240,151.99436438464355,220.0,198.0,231.0,169.0,184.19628174480687,-1.175453576400987
273,168.5609965208124,240.0,220.0,198.0,231.0,184.2530299995403,17.279989313046848
271,172.0474593165351,273.0,240.0,220.0,198.0,184.30977825427368,16.57197066403316
278,185.44505788373817,271.0,273.0,240.0,220.0,184.36652650900712,29.613952015019454
293,155.4705921828375,278.0,271.0,273.0,240.0,184.42327476374047,51.77452310959553
177,182.7531487800263,293.0,278.0,271.0,273.0,184.4800230184739,59.43829933237669
