demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
24,172.36733261652537,30.0,46.0,39.0,35.0,30.0,35.846153846153854,3.3763911783313225
27,274.01678826786844,24.0,30.0,46.0,39.0,35.0,35.54807692307692,3.01510457370399
32,495.8699226951202,27.0,24.0,30.0,46.0,39.0,35.259615384615394,-2.993617928359245
37,327.19062223784437,32.0,27.0,24.0,30.0,46.0,34.86538461538462,7.734839056757005
20,243.04366444330762,37.0,32.0,27.0,24.0,30.0,34.269230769230774,15.787013990591207
13,532.5640666321978,20.0,37.0,32.0,27.0,24.0,33.653846153846146,4.215852646741412
39,398.0549685709452,13.0,20.0,37.0,32.0,27.0,33.153846153846146,-8.582224276335516
43,357.3140855152916,39.0,13.0,20.0,37.0,32.0,32.57692307692308,19.004314185202944
48,248.08535369829758,43.0,39.0,13.0,20.0,37.0,32.20192307692307,12.36008341597218
52,329.90649829564273,48.0,43.0,39.0,13.0,20.0,31.961538461538463,8.322591105215118
7,143.27778209209572,52.0,48.0,43.0,39.0,13.0,31.42307692307692,5.202723469649115
36,437.928780015276,7.0,52.0,48.0,43.0,39.0,30.740384615384613,-8.27611852489125
39,543.890244487772,36.0,7.0,52.0,48.0,43.0,30.278846153846153,1.793116403645309
43,676.429951648845,39.0,36.0,7.0,52.0,48.0,29.865384615384613,-7.410084565254032
37,289.4455708326017,43.0,39.0,36.0,7.0,52.0,29.461538461538467,-0.6036701495379853
39,293.8561287895166,37.0,43.0,39.0,36.0,7.0,29.000000000000004,-2.476742913309121
40,406.24290334188566,39.0,37.0,43.0,39.0,36.0,28.615384615384606,11.291209963945384
30,249.80694004045944,40.0,39.0,37.0,43.0,39.0,28.134615384615394,3.3091628411998952
40,339.2408266600142,30.0,40.0,39.0,37.0,43.0,27.778846153846153,3.5835259748646613
50,235.8041949035175,40.0,30.0,40.0,39.0,37.0,27.90384615384616,8.200837826478145
30,334.6220287735815,50.0,40.0,30.0,40.0,39.0,28.0,10.151483011424963
13,147.7523274445889,30.0,50.0,40.0,30.0,40.0,27.97115384615385,-0.21838462414104487
20,260.7197065295859,13.0,30.0,50.0,40.0,30.0,27.81730769230769,-3.171585593040384
40,160.72669000091332,20.0,13.0,30.0,50.0,40.0,27.81730769230769,-8.08953015168331
23,416.49747286204354,40.0,20.0,13.0,30.0,50.0,28.009615384615394,10.71047400762248
29,504.73709285072374,23.0,40.0,20.0,13.0,30.0,28.115384615384613,-4.470291063840962
30,147.8564842497624,29.0,23.0,40.0,20.0,13.0,28.173076923076927,2.566892582644316
18,248.16637839808118,30.0,29.0,23.0,40.0,20.0,28.51923076923077,0.8668967419501098
22,284.6151630807675,18.0,30.0,29.0,23.0,40.0,28.903846153846153,-11.121560637205642
8,366.3959753678413,22.0,18.0,30.0,29.0,23.0,29.230769230769234,-7.09719750354088
16,398.784088038704,8.0,22.0,18.0,30.0,29.0,29.81730769230769,-6.069629241670986
11,255.43835894038497,16.0,8.0,22.0,18.0,30.0,30.500000000000004,-10.446747340780682
3,164.44523865453291,11.0,16.0,8.0,22.0,18.0,31.038461538461537,-15.594568247640689
22,165.34012215829915,3.0,11.0,16.0,8.0,22.0,31.49038461538462,-10.380209667321214
12,226.20350221911065,22.0,3.0,11.0,16.0,8.0,31.76923076923077,-2.7748254459760924
28,338.1664309546827,12.0,22.0,3.0,11.0,16.0,31.85576923076923,-13.725326286593685
15,241.9945633346221,28.0,12.0,22.0,3.0,11.0,31.70192307692308,3.5415922369841035
