demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
47,244.44156065939887,60.0,23.0,42.0,36.0,44.528846153846146,12.077043614699425
37,127.80122864757334,47.0,60.0,23.0,42.0,44.46153846153847,7.534153373306447
50,244.582438204952,37.0,47.0,60.0,23.0,44.00000000000001,6.693186208836554
50,247.29137080029238,50.0,37.0,47.0,60.0,43.97115384615384,-1.2214989043512872
87,183.148415771314,50.0,50.0,37.0,47.0,44.25,4.876636495281381
43,269.54253763020483,87.0,50.0,50.0,37.0,44.153846153846146,13.36259240773456
53,137.09378685065437,43.0,87.0,50.0,50.0,43.96153846153847,-8.90786193622252
28,172.36733261652537,53.0,43.0,87.0,50.0,43.81730769230769,2.840914489051173
44,274.01678826786844,28.0,53.0,43.0,87.0,43.78846153846153,-9.69556549593154
28,495.8699226951202,44.0,28.0,53.0,43.0,43.980769230769226,-3.398712147580929
44,327.19062223784437,28.0,44.0,28.0,53.0,43.884615384615394,-10.018525465896976
10,243.04366444330762,44.0,28.0,44.0,28.0,43.71153846153846,-7.1671849380591794
38,532.5640666321978,10.0,44.0,28.0,44.0,43.54807692307693,-19.05123375407995
29,398.0549685709452,38.0,10.0,44.0,28.0,43.20192307692307,-7.003156831003027
48,357.3140855152916,29.0,38.0,10.0,44.0,42.903846153846146,-3.3733491386953367
40,248.08535369829758,48.0,29.0,38.0,10.0,43.230769230769226,6.470906476914758
36,329.90649829564273,40.0,48.0,29.0,38.0,43.778846153846146,0.3940932658650181
34,143.27778209209572,36.0,40.0,48.0,29.0,43.83653846153846,-7.208360970825755
48,437.928780015276,34.0,36.0,40.0,48.0,44.009615384615394,-13.131328028029346
44,543.890244487772,48.0,34.0,36.0,40.0,44.12499999999999,-10.384423290361136
16,676.429951648845,44.0,48.0,34.0,36.0,44.201923076923094,-15.682390347564732
66,289.4455708326017,16.0,44.0,48.0,34.0,44.394230769230774,-21.179075353486272
51,293.8561287895166,66.0,16.0,44.0,48.0,44.58653846153846,3.4844960508486063
30,406.24290334188566,51.0,66.0,16.0,44.0,44.98076923076924,5.817939250055269
65,249.80694004045944,30.0,51.0,66.0,16.0,45.03846153846154,-0.9415662686867764
67,339.2408266600142,65.0,30.0,51.0,66.0,45.23076923076924,5.7957230843660446
38,235.8041949035175,67.0,65.0,30.0,51.0,45.54807692307693,16.186858591265022
35,334.6220287735815,38.0,67.0,65.0,30.0,45.673076923076906,8.347224867394766
65,147.7523274445889,35.0,38.0,67.0,65.0,46.22115384615384,7.475539861473226
54,260.7197065295859,65.0,35.0,38.0,67.0,46.71153846153846,12.693598445295276
44,160.72669000091332,54.0,65.0,35.0,38.0,47.019230769230774,3.655246772707067
47,416.49747286204354,44.0,54.0,65.0,35.0,46.875,12.011125869349634
50,504.73709285072374,47.0,44.0,54.0,65.0,46.65384615384616,12.735594709581942
64,147.8564842497624,50.0,47.0,44.0,54.0,46.8173076923077,12.690832780583474
74,248.16637839808118,64.0,50.0,47.0,44.0,47.25961538461538,16.597993928508107
39,284.6151630807675,74.0,64.0,50.0,47.0,47.92307692307693,3.8833602046378415
40,366.3959753678413,39.0,74.0,64.0,50.0,48.47115384615384,2.800136737177845
29,398.784088038704,40.0,39.0,74.0,64.0,48.80769230769231,-4.651676473871898
11,255.43835894038497,29.0,40.0,39.0,74.0,49.259615384615394,-13.010966885358586
24,164.44523865453291,11.0,29.0,40.0,39.0,49.701923076923066,-28.6082344403654
68,165.34012215829915,24.0,11.0,29.0,40.0,50.08653846153846,7.147062107191879
58,226.20350221911065,68.0,24.0,11.0,29.0,50.625,11.981528577714439
37,338.1664309546827,58.0,68.0,24.0,11.0,51.0673076923077,10.717484490167617
60,241.9945633346221,37.0,58.0,68.0,24.0,51.28846153846153,-0.07540575122534797
41,166.71196639574237,60.0,37.0,58.0,68.0,51.18269230769231,3.2823450330227013
47,155.89001013322988,41.0,60.0,37.0,58.0,50.79807692307693,7.6849676121425485
56,150.36836691986392,47.0,41.0,60.0,37.0,50.30769230769231,-2.2906149369427298
51,119.73695048369845,56.0,47.0,41.0,60.0,50.25,0.6536743088437819
62,117.56951795130188,51.0,56.0,47.0,41.0,50.13461538461538,-15.055882599215856
22,119.9405160641516,62.0,51.0,56.0,47.0,49.990384615384606,-7.823131814967803
63,166.95558448410063,22.0,62.0,51.0,56.0,50.346153846153854,-11.285893851232574
53,153.81295664374167,63.0,22.0,62.0,51.0,50.47115384615386,1.2737800099385517
67,148.7848177555266,53.0,63.0,22.0,62.0,50.451923076923094,12.077043614699425
74,156.9651965226074,67.0,53.0,63.0,22.0,50.884615384615394,7.534153373306447
64,282.84526519091037,74.0,67.0,53.0,63.0,51.60576923076921,6.693186208836554
68,274.86205506012084,64.0,74.0,67.0,53.0,52.115384615384606,-1.2214989043512872
54,319.4314017725323,68.0,64.0,74.0,67.0,52.278846153846146,4.876636495281381
53,233.7686641936492,54.0,68.0,64.0,74.0,52.653846153846146,13.36259240773456
