demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
49,278.0753279508005,89.0,32.0,53.0,69.0,55.0,54.480769230769226,12.61013236306581
72,287.2448691716446,49.0,89.0,32.0,53.0,69.0,54.5,4.477210527367145
44,392.8115727000725,72.0,49.0,89.0,32.0,53.0,54.67307692307693,-5.479429257049474
81,249.79011004945184,44.0,72.0,49.0,89.0,32.0,54.65384615384616,-1.0995305799276305
35,333.07868317493063,81.0,44.0,72.0,49.0,89.0,55.11538461538462,21.719470661296786
73,235.0583756769028,35.0,81.0,44.0,72.0,49.0,55.91346153846154,-5.54806655901726
49,332.6924391872425,73.0,35.0,81.0,44.0,72.0,56.144230769230774,8.585037246309723
55,144.99572085524701,49.0,73.0,35.0,81.0,44.0,56.365384615384606,-9.73057689708125
54,251.63810573525055,55.0,49.0,73.0,35.0,81.0,56.509615384615394,-3.9372166814978655
49,155.02993560344143,54.0,55.0,49.0,73.0,35.0,56.78846153846154,0.14781020075219273
42,406.1898188511355,49.0,54.0,55.0,49.0,73.0,57.17307692307693,20.960401185566344
61,488.3615268611296,42.0,49.0,54.0,55.0,49.0,57.52884615384616,-12.807136034747709
70,141.39110247532528,61.0,42.0,49.0,54.0,55.0,57.93269230769232,10.082378026989524
68,239.46691351095112,70.0,61.0,42.0,49.0,54.0,58.07692307692307,13.824456191290858
61,273.94801411654163,68.0,70.0,61.0,42.0,49.0,57.97115384615384,3.2908933299511767
58,360.10442926713137,61.0,68.0,70.0,61.0,42.0,58.20192307692307,-1.2843361980551828
77,396.4088883050607,58.0,61.0,68.0,70.0,61.0,58.62500000000001,-11.221745213241036
59,252.19411319528686,77.0,58.0,61.0,68.0,70.0,58.79807692307693,-3.418666177674597
23,158.61879215769974,59.0,77.0,58.0,61.0,68.0,59.03846153846154,-29.811484287948737
68,160.09739658610275,23.0,59.0,77.0,58.0,61.0,59.375,2.0969796530591704
79,214.85438926836213,68.0,23.0,59.0,77.0,58.0,59.644230769230774,-3.972120508497023
60,328.4506766388863,79.0,68.0,23.0,59.0,77.0,59.721153846153854,11.575682776041074
66,234.23798697906426,60.0,79.0,68.0,23.0,59.0,60.19230769230769,4.979248039927139
50,152.15397252145584,66.0,60.0,79.0,68.0,23.0,60.71153846153847,-4.613981567981674
49,152.9202433964371,50.0,66.0,60.0,79.0,68.0,61.02884615384616,-3.7328522015315087
49,143.30540338989647,49.0,50.0,66.0,60.0,79.0,61.865384615384635,-0.2876202709787794
45,124.90719360421714,49.0,49.0,50.0,66.0,60.0,62.16346153846154,6.930047557009847
72,120.11121493277264,45.0,49.0,49.0,50.0,66.0,62.41346153846154,-12.518951281668196
8,123.60917788305954,72.0,45.0,49.0,49.0,50.0,62.8173076923077,-0.07371935111546847
92,153.85731434366443,8.0,72.0,45.0,49.0,49.0,63.0673076923077,-2.8560515231268413
68,145.04687997590838,92.0,8.0,72.0,45.0,49.0,63.55769230769231,9.390462458707935
52,135.54905812514548,68.0,92.0,8.0,72.0,45.0,64.16346153846155,7.284412337978614
59,145.46682493624232,52.0,68.0,92.0,8.0,72.0,64.51923076923077,0.9732340121210854
60,271.438602510306,59.0,52.0,68.0,92.0,8.0,64.76923076923077,10.235773634981507
72,263.05949130140715,60.0,59.0,52.0,68.0,92.0,65.15384615384616,2.139338898867567
52,310.1821045170236,72.0,60.0,59.0,52.0,68.0,65.58653846153845,17.401878521727994
74,223.79669465417254,52.0,72.0,60.0,59.0,52.0,66.89423076923077,-20.611222881052626
73,162.39738766956145,74.0,52.0,72.0,60.0,59.0,68.16346153846155,11.067983408474467
63,245.7364223706256,73.0,74.0,52.0,72.0,60.0,68.85576923076923,-3.0797333789215218
51,217.24995999179643,63.0,73.0,74.0,52.0,72.0,69.58653846153848,-2.2595014483688014
90,265.00806860189056,51.0,63.0,73.0,74.0,52.0,70.25000000000001,-14.855936184482735
42,228.00801663131847,90.0,51.0,63.0,73.0,74.0,70.86538461538464,4.525193181967428
61,187.5912648184849,42.0,90.0,51.0,63.0,73.0,71.09615384615388,-35.20906206696702
79,247.59080064555252,61.0,42.0,90.0,51.0,63.0,70.78846153846155,-0.4713740225631392
58,261.14588935713857,79.0,61.0,42.0,90.0,51.0,70.20192307692308,6.038241362052244
59,207.6128084931577,58.0,79.0,61.0,42.0,90.0,70.91346153846155,-8.880027868716986
72,529.1215034424091,59.0,58.0,79.0,61.0,42.0,72.28846153846155,-11.706950945640068
113,316.8258414835159,72.0,59.0,58.0,79.0,61.0,72.85576923076924,13.559997951815538
65,233.04738922160604,113.0,72.0,59.0,58.0,79.0,73.69230769230771,6.003999193039951
90,325.65167307528577,65.0,113.0,72.0,59.0,58.0,74.56730769230771,4.069795306059239
82,316.06531566758287,90.0,65.0,113.0,72.0,59.0,75.11538461538461,3.7093093677964735
70,297.8261133900001,82.0,90.0,65.0,113.0,72.0,75.82692307692308,-8.212074006363729
94,176.8307052438284,70.0,82.0,90.0,65.0,113.0,77.10576923076924,12.61013236306581
69,389.19186137525804,94.0,70.0,82.0,90.0,65.0,78.21153846153847,4.477210527367145
73,345.5434381918775,69.0,94.0,70.0,82.0,90.0,78.6346153846154,-5.479429257049474
103,426.50300918267294,73.0,69.0,94.0,70.0,82.0,80.24038461538464,-1.0995305799276305
76,185.67930082261287,103.0,73.0,69.0,94.0,70.0,82.04807692307693,21.719470661296786
69,278.72289816077785,76.0,103.0,73.0,69.0,94.0,82.77884615384616,-5.54806655901726
79,264.64129452282185,69.0,76.0,103.0,73.0,69.0,83.87499999999999,8.585037246309723
65,248.08211729070683,79.0,69.0,76.0,103.0,73.0,85.32692307692307,-9.73057689708125
89,321.68791847972136,65.0,79.0,69.0,76.0,103.0,86.52884615384615,-3.9372166814978655
150,225.23396782581676,89.0,65.0,79.0,69.0,76.0,87.72115384615383,0.14781020075219273
73,284.4278330801852,150.0,89.0,65.0,79.0,69.0,88.62499999999999,20.960401185566344
102,172.84445377371605,73.0,150.0,89.0,65.0,79.0,89.29807692307692,-12.807136034747709
105,270.53253819311095,102.0,73.0,150.0,89.0,65.0,89.95192307692308,10.082378026989524
102,283.7387196792672,105.0,102.0,73.0,150.0,89.0,90.30769230769229,13.824456191290858
91,222.5065362892579,102.0,105.0,102.0,73.0,150.0,90.7403846153846,3.2908933299511767
