date,demand,civilians_rank,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2015-06-30,40,4,366,1,0,0,0,1,0,0
2015-07-07,31,1,395,1,0,0,0,1,0,0
2015-07-14,30,1,256,1,0,0,0,1,0,0
2015-07-21,20,1,170,1,0,0,0,1,0,0
2015-07-28,44,2,167,1,0,0,0,1,0,0
2015-08-04,44,3,236,1,0,0,0,1,0,0
2015-08-11,45,2,346,1,0,0,0,1,0,0
2015-08-18,45,3,250,1,0,0,0,1,0,0
2015-08-25,46,2,184,1,0,0,0,1,0,0
2015-09-01,55,1,158,1,0,0,0,1,0,0
2015-09-08,59,1,159,1,0,0,0,1,0,0
2015-09-15,52,1,110,1,0,0,0,1,0,0
2015-09-22,35,2,114,1,0,0,0,1,0,0
2015-09-29,9,1,112,1,0,0,0,1,0,0
2015-10-06,52,2,179,1,0,0,0,1,0,0
2015-10-13,55,2,161,1,0,0,0,1,0,0
2015-10-20,73,3,163,1,0,0,0,1,0,0
2015-10-27,62,2,169,1,0,0,0,1,0,0
2015-11-03,52,3,291,1,0,0,0,1,0,0
2015-11-10,67,4,285,1,0,0,0,1,0,0
2015-11-17,58,3,326,1,0,0,0,1,0,0
2015-11-24,51,3,241,1,0,0,0,1,0,0
2015-12-01,62,3,193,1,0,0,0,1,0,0
2015-12-08,50,2,279,1,0,0,0,1,0,0
2015-12-15,53,4,253,1,0,0,0,1,0,0
2015-12-22,79,3,313,1,0,0,0,1,0,0
2015-12-29,88,2,261,1,0,0,0,1,0,0
2016-01-05,57,1,225,1,0,0,0,1,0,0
2016-01-12,46,3,273,1,0,0,0,1,0,0
2016-01-19,74,1,315,1,0,0,0,1,0,0
2016-01-26,50,2,262,1,0,0,0,1,0,0
2016-02-02,49,3,574,1,0,0,0,1,0,0
2016-02-09,56,3,341,1,0,0,0,1,0,0
2016-02-16,53,2,267,1,0,0,0,1,0,0
2016-02-23,58,2,361,1,0,0,0,1,0,0
2016-03-01,58,3,338,1,0,0,0,1,0,0
2016-03-08,39,1,330,1,0,0,0,1,0,0
2016-03-15,36,1,196,1,0,0,0,1,0,0
2016-03-22,39,1,384,1,0,0,0,1,0,0
2016-03-29,42,1,345,1,0,0,0,1,0,0
2016-04-05,66,1,449,1,0,0,0,1,0,0
2016-04-12,54,1,218,1,0,0,0,1,0,0
2016-04-19,60,4,315,1,0,0,0,1,0,0
2016-04-26,64,4,309,1,0,0,0,1,0,0
2016-05-03,53,4,289,1,0,0,0,1,0,0
2016-05-10,52,3,348,1,0,0,0,1,0,0
2016-05-17,61,3,265,1,0,0,0,1,0,0
2016-05-24,70,4,321,1,0,0,0,1,0,0
2016-05-31,77,4,195,1,0,0,0,1,0,0
2016-06-07,75,4,328,1,0,0,0,1,0,0
2014-02-11,22,2,186,1,0,0,0,0,1,0
2014-02-18,15,3,182,1,0,0,0,0,1,0
2014-02-25,27,1,263,1,0,0,0,0,1,0
2014-03-04,30,2,277,1,0,0,0,0,1,0
2014-03-11,83,3,248,1,0,0,0,0,1,0
2014-03-18,44,2,158,1,0,0,0,0,1,0
2014-03-25,29,4,258,1,0,0,0,0,1,0
2014-04-01,56,2,329,1,0,0,0,0,1,0
2014-04-08,14,4,286,1,0,0,0,0,1,0
2014-04-15,29,4,156,1,0,0,0,0,1,0
2014-04-22,46,2,211,1,0,0,0,0,1,0
2014-04-29,18,3,145,1,0,0,0,0,1,0
2014-05-06,20,3,180,1,0,0,0,0,1,0
