demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
74,2,56.0,37.0,54.0,36.0,46.0,31.19230769230769,7.734839056757005
54,1,74.0,56.0,37.0,54.0,36.0,31.45192307692308,15.787013990591207
35,3,54.0,74.0,56.0,37.0,54.0,31.778846153846153,4.215852646741412
64,1,35.0,54.0,74.0,56.0,37.0,31.875000000000004,-8.582224276335516
47,2,64.0,35.0,54.0,74.0,56.0,32.27884615384616,19.004314185202944
53,3,47.0,64.0,35.0,54.0,74.0,32.94230769230769,12.36008341597218
31,3,53.0,47.0,64.0,35.0,54.0,33.394230769230774,8.322591105215118
21,2,31.0,53.0,47.0,64.0,35.0,33.56730769230769,5.202723469649115
27,2,21.0,31.0,53.0,47.0,64.0,33.96153846153846,-8.27611852489125
16,3,27.0,21.0,31.0,53.0,47.0,34.490384615384606,1.793116403645309
12,1,16.0,27.0,21.0,31.0,53.0,34.78846153846154,-7.410084565254032
18,1,12.0,16.0,27.0,21.0,31.0,35.04807692307692,-0.6036701495379853
29,1,18.0,12.0,16.0,27.0,21.0,35.40384615384615,-2.476742913309121
35,1,29.0,18.0,12.0,16.0,27.0,35.759615384615394,11.291209963945384
32,1,35.0,29.0,18.0,12.0,16.0,36.46153846153847,3.3091628411998952
49,1,32.0,35.0,29.0,18.0,12.0,37.269230769230774,3.5835259748646613
25,4,49.0,32.0,35.0,29.0,18.0,37.567307692307686,8.200837826478145
35,4,25.0,49.0,32.0,35.0,29.0,37.89423076923076,10.151483011424963
53,4,35.0,25.0,49.0,32.0,35.0,38.307692307692314,-0.21838462414104487
24,3,53.0,35.0,25.0,49.0,32.0,38.596153846153854,-3.171585593040384
40,3,24.0,53.0,35.0,25.0,49.0,38.625,-8.08953015168331
31,4,40.0,24.0,53.0,35.0,25.0,38.307692307692314,10.71047400762248
39,4,31.0,40.0,24.0,53.0,35.0,38.019230769230774,-4.470291063840962
41,4,39.0,31.0,40.0,24.0,53.0,38.125,2.566892582644316
21,4,41.0,39.0,31.0,40.0,24.0,38.153846153846146,0.8668967419501098
22,4,21.0,41.0,39.0,31.0,40.0,38.00961538461538,-11.121560637205642
35,4,22.0,21.0,41.0,39.0,31.0,37.88461538461538,-7.09719750354088
23,4,35.0,22.0,21.0,41.0,39.0,37.490384615384606,-6.069629241670986
14,4,23.0,35.0,22.0,21.0,41.0,38.214059082938775,-10.446747340780682
42,4,14.0,23.0,35.0,22.0,21.0,38.394072742974636,-15.594568247640689
52,4,42.0,14.0,23.0,35.0,22.0,38.574086403010476,-10.380209667321214
29,4,52.0,42.0,14.0,23.0,35.0,38.754100063046344,-2.7748254459760924
29,4,29.0,52.0,42.0,14.0,23.0,38.934113723082206,-13.725326286593685
55,4,29.0,29.0,52.0,42.0,14.0,39.11412738311806,3.5415922369841035
44,4,55.0,29.0,29.0,52.0,42.0,39.29414104315392,1.9815876836388204
33,4,44.0,55.0,29.0,29.0,52.0,39.474154703189775,1.7965831302935344
28,4,33.0,44.0,55.0,29.0,29.0,39.65416836322563,-5.452523987154316
33,4,28.0,33.0,44.0,55.0,29.0,39.83418202326149,-11.653554181525244
34,4,33.0,28.0,33.0,44.0,55.0,40.01419568329735,-9.816122837434634
66,4,34.0,33.0,28.0,33.0,44.0,40.1942093433332,-7.962665852318379
50,4,66.0,34.0,33.0,28.0,33.0,40.37422300336907,2.8266885686953094
60,4,50.0,66.0,34.0,33.0,28.0,40.55423666340492,-3.4480595743935667
52,4,60.0,50.0,66.0,34.0,33.0,40.73425032344077,15.568858949184225
50,3,52.0,60.0,50.0,66.0,34.0,40.91426398347664,-2.3693507323661898
33,3,50.0,52.0,60.0,50.0,66.0,41.09427764351249,4.067439586083396
35,4,33.0,50.0,52.0,60.0,50.0,41.27429130354835,-8.351539326236251
26,4,35.0,33.0,50.0,52.0,60.0,41.454304963584214,1.5884561204184657
40,4,26.0,35.0,33.0,50.0,52.0,41.63431862362006,1.9899900286116436
53,4,40.0,26.0,35.0,33.0,50.0,41.81433228365592,7.70242137270225
40,4,53.0,40.0,26.0,35.0,33.0,41.99434594369178,3.3763911783313225
36,4,40.0,53.0,40.0,26.0,35.0,42.17435960372764,3.01510457370399
44,1,36.0,40.0,53.0,40.0,26.0,42.35437326376349,-2.993617928359245
45,3,44.0,36.0,40.0,53.0,40.0,42.53438692379935,7.734839056757005
33,2,45.0,44.0,36.0,40.0,53.0,42.71440058383522,15.787013990591207
