demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
60,73.0,46.0,39.0,65.0,46.0,68.42307692307692,-7.77206299651714
70,60.0,73.0,46.0,39.0,65.0,68.43269230769229,-23.078249471330352
47,70.0,60.0,73.0,46.0,39.0,68.73076923076923,-11.813923125630744
64,47.0,70.0,60.0,73.0,46.0,69.0096153846154,-19.24190447223884
68,64.0,47.0,70.0,60.0,73.0,69.25000000000001,-15.548090947052055
66,68.0,64.0,47.0,70.0,60.0,69.53846153846155,2.0463636037757595
64,66.0,68.0,64.0,47.0,70.0,69.90384615384615,3.519023282808708
82,64.0,66.0,68.0,64.0,47.0,70.28846153846155,5.3346316797903635
88,82.0,64.0,66.0,68.0,64.0,70.81730769230771,-3.1927086411766936
64,88.0,82.0,64.0,66.0,68.0,71.375,12.103668986574194
69,64.0,88.0,82.0,64.0,66.0,71.84615384615384,3.855174819453277
63,69.0,64.0,88.0,82.0,64.0,72.16346153846155,-2.765114219462504
89,63.0,69.0,64.0,88.0,82.0,72.13461538461539,3.697930074955063
71,89.0,63.0,69.0,64.0,88.0,71.73076923076924,10.266743600141842
66,71.0,89.0,63.0,69.0,64.0,71.34615384615384,19.710557125328624
60,66.0,71.0,89.0,63.0,69.0,71.21153846153847,-3.746270375125609
46,60.0,66.0,71.0,89.0,63.0,71.23076923076921,-10.872969670451631
58,46.0,60.0,66.0,71.0,89.0,71.16346153846153,-13.752691577077401
82,58.0,46.0,60.0,66.0,71.0,71.0673076923077,-7.459422346308159
73,82.0,58.0,46.0,60.0,66.0,71.24038461538461,15.079039192153369
97,73.0,82.0,58.0,46.0,60.0,71.46153846153848,15.516539192153358
110,97.0,73.0,82.0,58.0,46.0,71.73076923076924,19.41111720868989
125,110.0,97.0,73.0,82.0,58.0,71.91346153846155,9.000222126083893
98,125.0,110.0,97.0,73.0,82.0,71.77884615384616,37.02842960758045
115,98.0,125.0,110.0,97.0,73.0,71.63461538461537,7.841893499333433
77,115.0,98.0,125.0,110.0,97.0,71.61538461538461,21.398947134676146
90,77.0,115.0,98.0,125.0,110.0,71.45192307692308,15.206000770018857
86,90.0,77.0,115.0,98.0,125.0,70.92307692307695,21.038695431002594
81,86.0,90.0,77.0,115.0,98.0,70.4326923076923,4.502800348396595
67,81.0,86.0,90.0,77.0,115.0,70.40384615384616,10.15600782989316
91,67.0,81.0,86.0,90.0,77.0,70.72115384615384,-0.7324513552769455
95,91.0,67.0,81.0,86.0,90.0,71.14423076923075,7.645115100578597
78,95.0,91.0,67.0,81.0,86.0,71.62499999999999,11.484220017972598
93,78.0,95.0,91.0,67.0,81.0,72.17307692307693,-5.31449557745393
85,93.0,78.0,95.0,91.0,67.0,72.36538461538464,3.242558057888786
84,85.0,93.0,78.0,95.0,91.0,72.31730769230771,16.796406565026373
86,84.0,85.0,93.0,78.0,95.0,72.45192307692308,9.802178149087046
59,86.0,84.0,85.0,93.0,78.0,72.73076923076924,19.08359075878873
64,59.0,86.0,84.0,85.0,93.0,73.22115384615384,5.230387983875043
70,64.0,59.0,86.0,84.0,85.0,73.52884615384612,20.761800593576734
74,70.0,64.0,59.0,86.0,84.0,74.0673076923077,2.2130849981502174
62,74.0,70.0,64.0,59.0,86.0,74.75961538461539,-2.6849895716352754
42,62.0,74.0,70.0,64.0,59.0,74.88461538461539,-11.724089782446407
33,42.0,62.0,74.0,70.0,64.0,73.84877174605474,-8.9531651906604
53,33.0,42.0,62.0,74.0,70.0,73.96925424741745,-32.22793905577192
42,53.0,33.0,42.0,62.0,74.0,74.08973674878017,-24.884123177293702
64,42.0,53.0,33.0,42.0,62.0,74.21021925014291,-31.82235858086677
45,64.0,42.0,53.0,33.0,42.0,74.33070175150561,-20.72831010963056
52,45.0,64.0,42.0,53.0,33.0,74.45118425286833,-26.685137610084794
37,52.0,45.0,64.0,42.0,53.0,74.57166675423106,-11.273375366949296
46,37.0,52.0,45.0,64.0,42.0,74.69214925559378,-22.496228508429184
56,46.0,37.0,52.0,45.0,64.0,74.81263175695648,-14.203056008883415
22,56.0,46.0,37.0,52.0,45.0,74.93311425831922,-7.77206299651714
57,22.0,56.0,46.0,37.0,52.0,75.05359675968194,-23.078249471330352
57,57.0,22.0,56.0,46.0,37.0,75.17407926104465,-11.813923125630744
87,57.0,57.0,22.0,56.0,46.0,75.29456176240738,-19.24190447223884
89,87.0,57.0,57.0,22.0,56.0,75.4150442637701,-15.548090947052055
95,89.0,87.0,57.0,57.0,22.0,75.53552676513281,2.0463636037757595
92,95.0,89.0,87.0,57.0,57.0,75.65600926649553,3.519023282808708
74,92.0,95.0,89.0,87.0,57.0,75.77649176785826,5.3346316797903635
91,74.0,92.0,95.0,89.0,87.0,75.89697426922098,-3.1927086411766936
75,91.0,74.0,92.0,95.0,89.0,76.01745677058369,12.103668986574194
87,75.0,91.0,74.0,92.0,95.0,76.13793927194641,3.855174819453277
96,87.0,75.0,91.0,74.0,92.0,76.25842177330915,-2.765114219462504
88,96.0,87.0,75.0,91.0,74.0,76.37890427467184,3.697930074955063
128,88.0,96.0,87.0,75.0,91.0,76.49938677603457,10.266743600141842
81,128.0,88.0,96.0,87.0,75.0,76.6198692773973,19.710557125328624
58,81.0,128.0,88.0,96.0,87.0,76.74035177876002,-3.746270375125609
31,58.0,81.0,128.0,88.0,96.0,76.86083428012273,-10.872969670451631
