date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-07-29,53,2,294.0767818932507,27.942857142857147,18.15,0.0,65.0,80.0,88.0,112.0,101.0,94.41939019104345,-37.83167511799296
2014-08-05,75,3,140.30938835006742,28.028571428571432,19.064285714285717,0.0,53.0,65.0,80.0,88.0,112.0,95.35407239819001,7.729242293517808
2014-08-12,91,1,147.72537301503448,28.400000000000006,16.55,0.0,75.0,53.0,65.0,80.0,88.0,94.11538461538464,26.655642009371537
2014-08-19,92,4,164.92997875385663,28.657142857142862,16.435714285714287,0.0,91.0,75.0,53.0,65.0,80.0,95.55769230769234,-28.27316189468422
2014-08-26,97,2,151.9373112112833,28.500000000000004,11.714285714285712,0.0,92.0,91.0,75.0,53.0,65.0,96.10576923076924,-16.94555554232972
2014-09-02,97,1,149.16119185994813,29.442857142857143,14.014285714285714,0.0,97.0,92.0,91.0,75.0,53.0,96.73076923076924,10.869230297204261
2014-09-09,107,2,216.67776898409554,28.571428571428577,11.6,0.0,97.0,97.0,92.0,91.0,75.0,98.42307692307693,4.414785367507466
2014-09-16,84,2,135.3257706319596,28.1,15.164285714285716,0.0,107.0,97.0,97.0,92.0,91.0,100.11538461538463,-2.042864690394435
2014-09-23,73,1,169.62627738948876,27.7,14.235714285714286,0.0,84.0,107.0,97.0,97.0,92.0,101.86538461538463,-21.032566030347635
2014-09-30,85,1,263.89250020465084,26.599999999999998,22.300000000000004,16.0,73.0,84.0,107.0,97.0,97.0,103.65384615384619,-30.342780190813674
2014-10-07,37,3,128.52077614999587,25.342857142857138,13.192857142857141,8.9,85.0,73.0,84.0,107.0,97.0,105.20192307692308,-17.239532812818137
2014-10-14,77,1,147.35434333368227,25.171428571428574,10.678571428571429,5.8,37.0,85.0,73.0,84.0,107.0,106.98076923076924,-16.78051620405338
2014-10-21,100,2,244.44156065939887,22.7,15.971428571428572,29.800000000000004,77.0,37.0,85.0,73.0,84.0,108.34615384615385,-19.27662780041684
2014-10-28,80,1,127.80122864757334,23.22857142857143,10.571428571428571,0.0,100.0,77.0,37.0,85.0,73.0,109.125,24.59585034680946
2014-11-04,101,1,244.582438204952,21.828571428571426,11.95,16.5,80.0,100.0,77.0,37.0,85.0,110.22115384615385,27.34012336583061
2014-11-11,122,2,247.2913708002924,20.628571428571426,8.735714285714286,0.0,101.0,80.0,100.0,77.0,37.0,111.38461538461539,-24.655988230532838
2014-11-18,151,3,183.148415771314,20.400000000000002,11.714285714285714,46.3,122.0,101.0,80.0,100.0,77.0,112.29807692307692,12.453669403872944
2014-11-25,124,1,269.5425376302048,18.185714285714287,17.928571428571427,37.9,151.0,122.0,101.0,80.0,100.0,112.8173076923077,-0.6129550130033453
2014-12-02,104,3,137.09378685065437,17.7,12.985714285714286,19.3,124.0,151.0,122.0,101.0,80.0,113.26923076923077,18.461446211146036
2014-12-09,101,1,172.36733261652535,20.4,9.428571428571429,13.0,104.0,124.0,151.0,122.0,101.0,113.78846153846153,6.599949999397962
2014-12-16,141,2,274.0167882678684,18.414285714285715,13.664285714285715,6.699999999999999,101.0,104.0,124.0,151.0,122.0,114.26923076923076,-2.2679564687603664
2014-12-23,114,2,495.8699226951202,17.014285714285712,10.571428571428571,17.0,141.0,101.0,104.0,124.0,151.0,115.09615384615384,27.941060140004385
2014-12-30,134,4,327.19062223784437,16.75714285714286,14.592857142857143,3.0,114.0,141.0,101.0,104.0,124.0,115.74038461538461,30.23982033851272
2015-01-06,82,2,243.04366444330756,14.914285714285715,18.949999999999996,34.6,134.0,114.0,141.0,101.0,104.0,116.07692307692308,37.52255489599541
2015-01-13,102,1,532.5640666321978,10.157142857142857,15.52142857142857,17.8,82.0,134.0,114.0,141.0,101.0,116.53846153846155,-8.622907793937024
2015-01-20,118,1,398.05496857094516,14.357142857142856,10.335714285714287,16.3,102.0,82.0,134.0,114.0,141.0,116.65384615384616,9.66074605221683
2015-01-27,167,1,357.3140855152916,16.614285714285714,8.735714285714286,0.0,118.0,102.0,82.0,134.0,114.0,116.62500000000001,12.67036143683221
2015-02-03,177,2,248.0853536982976,15.957142857142857,14.82142857142857,16.0,167.0,118.0,102.0,82.0,134.0,117.79807692307693,64.92036143683221
2015-02-10,145,3,329.90649829564273,16.842857142857145,19.764285714285712,9.399999999999999,177.0,167.0,118.0,102.0,82.0,119.81730769230771,22.84616338929792
2015-02-17,98,1,143.27778209209572,12.371428571428572,22.071428571428573,41.199999999999996,145.0,177.0,167.0,118.0,102.0,120.90384615384617,-10.465397346417605
2015-02-24,164,2,437.92878001527606,11.828571428571431,17.571428571428573,22.0,98.0,145.0,177.0,167.0,118.0,121.25000000000001,-21.77054782572287
