date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-12-09,28,1,172.36733261652535,20.4,9.428571428571429,13.0,53.0,43.0,87.0,50.0,43.81730769230769,2.8409144890511735
2014-12-16,44,2,274.0167882678684,18.414285714285715,13.664285714285715,6.699999999999999,28.0,53.0,43.0,87.0,43.78846153846153,-9.695565495931541
2014-12-23,28,2,495.8699226951202,17.014285714285712,10.571428571428571,17.0,44.0,28.0,53.0,43.0,43.98076923076923,-3.3987121475809294
2014-12-30,44,4,327.19062223784437,16.75714285714286,14.592857142857143,3.0,28.0,44.0,28.0,53.0,43.88461538461539,-10.018525465896978
2015-01-06,10,2,243.04366444330756,14.914285714285715,18.949999999999996,34.6,44.0,28.0,44.0,28.0,43.71153846153846,-7.16718493805918
2015-01-13,38,1,532.5640666321978,10.157142857142857,15.52142857142857,17.8,10.0,44.0,28.0,44.0,43.54807692307692,-19.05123375407995
2015-01-20,29,1,398.05496857094516,14.357142857142856,10.335714285714287,16.3,38.0,10.0,44.0,28.0,43.20192307692308,-7.003156831003026
2015-01-27,48,1,357.3140855152916,16.614285714285714,8.735714285714286,0.0,29.0,38.0,10.0,44.0,42.90384615384615,-3.3733491386953367
2015-02-03,40,2,248.0853536982976,15.957142857142857,14.82142857142857,16.0,48.0,29.0,38.0,10.0,43.230769230769226,6.470906476914758
2015-02-10,36,3,329.90649829564273,16.842857142857145,19.764285714285712,9.399999999999999,40.0,48.0,29.0,38.0,43.778846153846146,0.3940932658650181
2015-02-17,34,1,143.27778209209572,12.371428571428572,22.071428571428573,41.199999999999996,36.0,40.0,48.0,29.0,43.83653846153846,-7.208360970825755
2015-02-24,48,2,437.92878001527606,11.828571428571431,17.571428571428573,22.0,34.0,36.0,40.0,48.0,44.00961538461539,-13.131328028029344
2015-03-03,44,2,543.890244487772,16.928571428571427,14.578571428571431,4.8,48.0,34.0,36.0,40.0,44.12499999999999,-10.384423290361138
2015-03-10,16,1,676.429951648845,18.342857142857145,9.421428571428573,0.3,44.0,48.0,34.0,36.0,44.20192307692309,-15.682390347564732
2015-03-17,66,1,289.4455708326017,16.52857142857143,14.585714285714287,6.3,16.0,44.0,48.0,34.0,44.394230769230774,-21.179075353486272
2015-03-24,51,3,293.8561287895166,16.285714285714285,20.45714285714286,6.6,66.0,16.0,44.0,48.0,44.58653846153846,3.4844960508486063
2015-03-31,30,2,406.2429033418857,18.814285714285717,12.757142857142856,2.6,51.0,66.0,16.0,44.0,44.98076923076924,5.81793925005527
2015-04-07,65,1,249.80694004045944,18.32857142857143,15.171428571428574,0.0,30.0,51.0,66.0,16.0,45.03846153846154,-0.9415662686867764
2015-04-14,67,1,339.2408266600142,16.52857142857143,18.949999999999996,27.800000000000004,65.0,30.0,51.0,66.0,45.23076923076924,5.7957230843660446
2015-04-21,38,2,235.8041949035175,18.885714285714283,15.75,0.6,67.0,65.0,30.0,51.0,45.54807692307693,16.186858591265022
2015-04-28,35,3,334.6220287735815,19.428571428571427,19.29285714285714,1.3,38.0,67.0,65.0,30.0,45.67307692307691,8.347224867394766
2015-05-05,65,3,147.75232744458893,21.04285714285714,14.242857142857144,0.6,35.0,38.0,67.0,65.0,46.22115384615384,7.4755398614732265
2015-05-12,54,3,260.7197065295859,21.814285714285717,12.064285714285715,2.3,65.0,35.0,38.0,67.0,46.71153846153845,12.693598445295278
2015-05-19,44,1,160.72669000091332,24.74285714285714,13.442857142857145,3.1,54.0,65.0,35.0,38.0,47.019230769230774,3.655246772707067
2015-05-26,47,3,416.49747286204354,24.2,14.135714285714286,0.6,44.0,54.0,65.0,35.0,46.875,12.011125869349634
2015-06-02,50,1,504.7370928507237,24.6,15.742857142857144,3.0,47.0,44.0,54.0,65.0,46.65384615384616,12.735594709581942
2015-06-09,64,2,147.8564842497624,24.585714285714285,11.828571428571427,0.0,50.0,47.0,44.0,54.0,46.8173076923077,12.690832780583477
2015-06-16,74,3,248.1663783980812,24.342857142857145,11.942857142857141,0.0,64.0,50.0,47.0,44.0,47.25961538461538,16.597993928508103
2015-06-23,39,1,284.6151630807675,25.657142857142855,17.235714285714288,0.0,74.0,64.0,50.0,47.0,47.92307692307693,3.8833602046378424
2015-06-30,40,4,366.39597536784134,25.67142857142857,19.87142857142857,0.0,39.0,74.0,64.0,50.0,48.47115384615384,2.800136737177845
2015-07-07,29,1,398.784088038704,26.3,13.671428571428569,0.0,40.0,39.0,74.0,64.0,48.80769230769231,-4.651676473871898
2015-07-14,11,1,255.43835894038497,26.771428571428572,14.135714285714286,0.0,29.0,40.0,39.0,74.0,49.25961538461539,-13.010966885358586
2015-07-21,24,1,164.44523865453294,27.31428571428571,14.478571428571428,0.0,11.0,29.0,40.0,39.0,49.701923076923066,-28.6082344403654
2015-07-28,68,2,165.34012215829915,28.657142857142862,11.828571428571427,0.0,24.0,11.0,29.0,40.0,50.08653846153846,7.14706210719188
2015-08-04,58,3,226.20350221911062,29.385714285714283,12.985714285714286,0.0,68.0,24.0,11.0,29.0,50.625,11.98152857771444
2015-08-11,37,2,338.1664309546827,29.5,13.085714285714285,0.0,58.0,68.0,24.0,11.0,51.0673076923077,10.717484490167617
2015-08-18,60,3,241.9945633346221,29.985714285714284,13.428571428571429,0.0,37.0,58.0,68.0,24.0,51.28846153846153,-0.07540575122534798
2015-08-25,41,2,166.71196639574237,29.271428571428572,14.935714285714287,0.0,60.0,37.0,58.0,68.0,51.18269230769231,3.2823450330227013
2015-09-01,47,1,155.89001013322988,29.35714285714286,10.564285714285715,0.0,41.0,60.0,37.0,58.0,50.79807692307693,7.684967612142549
2015-09-08,56,1,150.36836691986392,29.21428571428571,9.535714285714286,0.0,47.0,41.0,60.0,37.0,50.30769230769231,-2.29061493694273
2015-09-15,51,1,119.73695048369844,30.400000000000002,11.02142857142857,0.0,56.0,47.0,41.0,60.0,50.25,0.6536743088437819
2015-09-22,62,2,117.56951795130189,28.814285714285717,11.492857142857142,0.0,51.0,56.0,47.0,41.0,50.13461538461538,-15.055882599215856
2015-09-29,22,1,119.94051606415161,28.5,12.514285714285716,0.0,62.0,51.0,56.0,47.0,49.99038461538461,-7.823131814967803
2015-10-06,63,2,166.95558448410063,27.871428571428574,11.142857142857142,0.0,22.0,62.0,51.0,56.0,50.34615384615385,-11.285893851232574
2015-10-13,53,2,153.8129566437417,25.885714285714283,13.9,5.1,63.0,22.0,62.0,51.0,50.471153846153854,1.2737800099385517
2015-10-20,67,3,148.7848177555266,26.057142857142853,9.764285714285714,0.0,53.0,63.0,22.0,62.0,50.45192307692309,12.077043614699425
2015-10-27,74,2,156.96519652260739,25.085714285714285,11.95,56.6,67.0,53.0,63.0,22.0,50.884615384615394,7.534153373306447
2015-11-03,64,3,282.84526519091037,22.371428571428574,10.571428571428571,9.9,74.0,67.0,53.0,63.0,51.605769230769226,6.693186208836554
2015-11-10,68,4,274.8620550601208,22.214285714285715,10.335714285714285,5.8,64.0,74.0,67.0,53.0,52.11538461538461,-1.2214989043512872
2015-11-17,54,3,319.4314017725323,20.7,8.85,3.0,68.0,64.0,74.0,67.0,52.278846153846146,4.876636495281381
2015-11-24,53,3,233.76866419364922,20.45714285714286,8.392857142857142,0.0,54.0,68.0,64.0,74.0,52.653846153846146,13.36259240773456
2015-12-01,60,3,177.95138626393563,20.157142857142855,10.007142857142856,29.9,53.0,54.0,68.0,64.0,53.394230769230774,-8.90786193622252
2015-12-08,67,2,263.5010994303953,14.757142857142856,12.414285714285713,4.3999999999999995,60.0,53.0,54.0,68.0,54.02884615384616,2.8409144890511735
2015-12-15,74,4,235.7568737112083,16.914285714285715,7.364285714285714,7.1,67.0,60.0,53.0,54.0,54.40384615384616,-9.695565495931541
2015-12-22,55,3,287.8915796600832,16.84285714285714,9.314285714285715,17.3,74.0,67.0,60.0,53.0,54.05769230769232,-3.3987121475809294
2015-12-29,52,2,245.01578608483217,16.842857142857145,6.564285714285715,0.5,55.0,74.0,67.0,60.0,53.75000000000001,-10.018525465896978
2016-01-05,49,1,206.6390062211468,13.1,17.464285714285715,22.4,52.0,55.0,74.0,67.0,54.10576923076924,-7.16718493805918
2016-01-12,45,3,261.3550678200407,15.97142857142857,14.135714285714286,13.7,49.0,52.0,55.0,74.0,54.34615384615385,-19.05123375407995
2016-01-19,62,1,287.0358546953759,15.257142857142856,16.542857142857144,14.2,45.0,49.0,52.0,55.0,54.59615384615384,-7.003156831003026
2016-01-26,71,2,235.13062609889857,12.214285714285714,14.364285714285714,9.1,62.0,45.0,49.0,52.0,55.63461538461539,-3.3733491386953367
2016-02-02,63,3,552.1806749254147,12.057142857142855,8.735714285714286,0.0,71.0,62.0,45.0,49.0,56.85576923076923,6.470906476914758
2016-02-09,36,3,329.1364949280054,14.585714285714285,14.935714285714287,0.0,63.0,71.0,62.0,45.0,57.45192307692307,0.3940932658650181
2016-02-16,23,2,250.36485208349447,16.75714285714286,8.392857142857142,0.3,36.0,63.0,71.0,62.0,58.11538461538461,-7.208360970825755
2016-02-23,19,2,345.0780772957265,18.185714285714287,12.757142857142856,25.200000000000003,23.0,36.0,63.0,71.0,58.62499999999999,-13.131328028029344
2016-03-01,22,3,328.67799948553056,18.5,8.507142857142858,0.0,19.0,23.0,36.0,63.0,59.182692307692314,-10.384423290361138
2016-03-08,32,1,314.82171896457714,18.1,12.871428571428572,0.0,22.0,19.0,23.0,36.0,59.91346153846154,-15.682390347564732
2016-03-15,38,1,187.83679965065738,18.428571428571427,16.314285714285717,11.4,32.0,22.0,19.0,23.0,60.12500000000001,-21.179075353486272
2016-03-22,64,1,391.95256049918856,17.328571428571426,13.214285714285714,1.3,38.0,32.0,22.0,19.0,59.85576923076923,3.4844960508486063
2016-03-29,54,1,350.3826190126351,18.414285714285715,14.357142857142858,0.8,64.0,38.0,32.0,22.0,59.375,5.81793925005527
