demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
4,187,1,0,0,0,1,0,0
3,233,1,0,0,0,1,0,0
4,187,1,0,0,0,1,0,0
7,197,1,0,0,0,1,0,0
4,243,1,0,0,0,1,0,0
5,405,1,0,0,0,1,0,0
6,209,1,0,0,0,1,0,0
6,147,1,0,0,0,1,0,0
11,167,1,0,0,0,1,0,0
2,137,1,0,0,0,1,0,0
6,140,1,0,0,0,1,0,0
1,156,1,0,0,0,1,0,0
1,298,1,0,0,0,1,0,0
9,140,1,0,0,0,1,0,0
6,161,1,0,0,0,1,0,0
10,179,1,0,0,0,1,0,0
4,163,1,0,0,0,1,0,0
4,159,1,0,0,0,1,0,0
12,227,1,0,0,0,1,0,0
5,146,1,0,0,0,1,0,0
12,180,1,0,0,0,1,0,0
13,276,1,0,0,0,1,0,0
7,139,1,0,0,0,1,0,0
2,152,1,0,0,0,1,0,0
18,247,1,0,0,0,1,0,0
11,136,1,0,0,0,1,0,0
10,253,1,0,0,0,1,0,0
7,258,1,0,0,0,1,0,0
10,187,1,0,0,0,1,0,0
12,275,1,0,0,0,1,0,0
8,137,1,0,0,0,1,0,0
10,172,1,0,0,0,1,0,0
4,286,1,0,0,0,1,0,0
10,495,1,0,0,0,1,0,0
10,332,1,0,0,0,1,0,0
6,248,1,0,0,0,1,0,0
1,561,1,0,0,0,1,0,0
5,420,1,0,0,0,1,0,0
11,374,1,0,0,0,1,0,0
11,258,1,0,0,0,1,0,0
6,327,1,0,0,0,1,0,0
3,150,1,0,0,0,1,0,0
5,440,1,0,0,0,1,0,0
3,554,1,0,0,0,1,0,0
13,682,1,0,0,0,1,0,0
3,304,1,0,0,0,1,0,0
5,298,1,0,0,0,1,0,0
4,423,1,0,0,0,1,0,0
7,246,1,0,0,0,1,0,0
3,342,1,0,0,0,1,0,0
2,234,1,0,0,0,1,0,0
6,333,1,0,0,0,1,0,0
4,149,1,0,0,0,1,0,0
3,266,1,0,0,0,1,0,0
4,166,1,0,0,0,1,0,0
5,424,1,0,0,0,1,0,0
4,521,1,0,0,0,1,0,0
21,154,1,0,0,0,1,0,0
36,255,1,0,0,0,1,0,0
64,290,1,0,0,0,1,0,0
40,366,1,0,0,0,1,0,0
31,395,1,0,0,0,1,0,0
30,256,1,0,0,0,1,0,0
20,170,1,0,0,0,1,0,0
44,167,1,0,0,0,1,0,0
44,236,1,0,0,0,1,0,0
45,346,1,0,0,0,1,0,0
45,250,1,0,0,0,1,0,0
46,184,1,0,0,0,1,0,0
55,158,1,0,0,0,1,0,0
59,159,1,0,0,0,1,0,0
52,110,1,0,0,0,1,0,0
35,114,1,0,0,0,1,0,0
9,112,1,0,0,0,1,0,0
52,179,1,0,0,0,1,0,0
55,161,1,0,0,0,1,0,0
73,163,1,0,0,0,1,0,0
62,169,1,0,0,0,1,0,0
52,291,1,0,0,0,1,0,0
67,285,1,0,0,0,1,0,0
58,326,1,0,0,0,1,0,0
51,241,1,0,0,0,1,0,0
62,193,1,0,0,0,1,0,0
50,279,1,0,0,0,1,0,0
53,253,1,0,0,0,1,0,0
79,313,1,0,0,0,1,0,0
88,261,1,0,0,0,1,0,0
57,225,1,0,0,0,1,0,0
