date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2016-05-24,171,151.0,188.0,159.0,145.0,187.88461538461542,-3.650268158927057
2016-05-31,137,171.0,151.0,188.0,159.0,188.84615384615387,21.38448106229765
2016-06-07,156,137.0,171.0,151.0,188.0,190.00000000000003,-24.47179535750327
2016-06-14,149,156.0,137.0,171.0,151.0,191.50961538461542,-9.888969213201626
2016-06-21,131,149.0,156.0,137.0,171.0,193.13461538461544,-7.453578966335896
2016-06-28,172,131.0,149.0,156.0,137.0,194.34615384615384,-17.540624616906037
2016-07-05,92,172.0,131.0,149.0,156.0,195.39423076923072,-21.948183087988987
2016-07-12,104,92.0,172.0,131.0,149.0,183.0613166501389,-33.99797531424648
2016-07-19,212,104.0,92.0,172.0,131.0,183.11806490487228,-43.783424229214944
2016-07-26,191,212.0,104.0,92.0,172.0,183.17481315960566,-26.392591092901373
2016-08-02,235,191.0,212.0,104.0,92.0,183.2315614143391,-29.187213466245066
2016-08-09,228,235.0,191.0,212.0,104.0,183.28830966907245,-3.9048474998741365
2016-08-16,240,228.0,235.0,191.0,212.0,183.34505792380588,-4.5487635847852905
2016-08-23,184,240.0,228.0,235.0,191.0,183.40180617853932,12.038089561072832
2016-08-30,260,184.0,240.0,228.0,235.0,183.4585544332727,-14.054544472556262
2016-09-06,199,260.0,184.0,240.0,228.0,183.5153026880061,18.936154827148
2016-09-13,155,199.0,260.0,184.0,240.0,183.57205094273948,1.9557002806984196
2016-09-20,178,155.0,199.0,260.0,184.0,183.62879919747292,-21.03116452216144
2016-09-27,256,178.0,155.0,199.0,260.0,183.6855474522063,-14.601362658354617
2016-10-04,232,256.0,178.0,155.0,199.0,183.7422957069397,-24.229253102240094
2016-10-11,259,232.0,256.0,178.0,155.0,183.79904396167308,-22.257784571766628
2016-10-18,213,259.0,232.0,256.0,178.0,183.85579221640648,25.95406857409147
2016-10-25,213,213.0,259.0,232.0,256.0,183.91254047113992,-2.9943346903068564
2016-11-01,169,213.0,213.0,259.0,232.0,183.9692887258733,4.925851788884587
2016-11-08,231,169.0,213.0,213.0,259.0,184.02603698060668,-23.727679680641927
2016-11-15,198,231.0,169.0,213.0,213.0,184.08278523534008,17.013019619062305
2016-11-22,220,198.0,231.0,169.0,213.0,184.13953349007352,4.333847123894762
2016-11-29,240,220.0,198.0,231.0,169.0,184.19628174480687,-1.175453576400987
2016-12-06,273,240.0,220.0,198.0,231.0,184.2530299995403,17.279989313046848
2016-12-13,271,273.0,240.0,220.0,198.0,184.30977825427368,16.57197066403316
2016-12-20,278,271.0,273.0,240.0,220.0,184.36652650900712,29.613952015019454
2016-12-27,293,278.0,271.0,273.0,240.0,184.42327476374047,51.77452310959553
2017-01-03,177,293.0,278.0,271.0,273.0,184.4800230184739,59.43829933237669
