date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-01-06,20,37.0,32.0,27.0,24.0,30.0,34.269230769230774,15.787013990591207
2015-01-13,13,20.0,37.0,32.0,27.0,24.0,33.653846153846146,4.215852646741412
2015-01-20,39,13.0,20.0,37.0,32.0,27.0,33.153846153846146,-8.582224276335516
2015-01-27,43,39.0,13.0,20.0,37.0,32.0,32.57692307692308,19.004314185202944
2015-02-03,48,43.0,39.0,13.0,20.0,37.0,32.20192307692307,12.36008341597218
2015-02-10,52,48.0,43.0,39.0,13.0,20.0,31.961538461538463,8.322591105215118
2015-02-17,7,52.0,48.0,43.0,39.0,13.0,31.42307692307692,5.202723469649115
2015-02-24,36,7.0,52.0,48.0,43.0,39.0,30.740384615384613,-8.27611852489125
2015-03-03,39,36.0,7.0,52.0,48.0,43.0,30.278846153846153,1.793116403645309
2015-03-10,43,39.0,36.0,7.0,52.0,48.0,29.865384615384613,-7.410084565254032
2015-03-17,37,43.0,39.0,36.0,7.0,52.0,29.461538461538467,-0.6036701495379853
2015-03-24,39,37.0,43.0,39.0,36.0,7.0,29.000000000000004,-2.476742913309121
2015-03-31,40,39.0,37.0,43.0,39.0,36.0,28.615384615384606,11.291209963945384
2015-04-07,30,40.0,39.0,37.0,43.0,39.0,28.134615384615394,3.3091628411998952
2015-04-14,40,30.0,40.0,39.0,37.0,43.0,27.778846153846153,3.5835259748646613
2015-04-21,50,40.0,30.0,40.0,39.0,37.0,27.90384615384616,8.200837826478145
2015-04-28,30,50.0,40.0,30.0,40.0,39.0,28.0,10.151483011424963
2015-05-05,13,30.0,50.0,40.0,30.0,40.0,27.97115384615385,-0.21838462414104487
2015-05-12,20,13.0,30.0,50.0,40.0,30.0,27.81730769230769,-3.171585593040384
2015-05-19,40,20.0,13.0,30.0,50.0,40.0,27.81730769230769,-8.08953015168331
2015-05-26,23,40.0,20.0,13.0,30.0,50.0,28.009615384615394,10.71047400762248
2015-06-02,29,23.0,40.0,20.0,13.0,30.0,28.115384615384613,-4.470291063840962
2015-06-09,30,29.0,23.0,40.0,20.0,13.0,28.173076923076927,2.566892582644316
2015-06-16,18,30.0,29.0,23.0,40.0,20.0,28.51923076923077,0.8668967419501098
2015-06-23,22,18.0,30.0,29.0,23.0,40.0,28.903846153846153,-11.121560637205642
2015-06-30,8,22.0,18.0,30.0,29.0,23.0,29.230769230769234,-7.09719750354088
2015-07-07,16,8.0,22.0,18.0,30.0,29.0,29.81730769230769,-6.069629241670986
2015-07-14,11,16.0,8.0,22.0,18.0,30.0,30.500000000000004,-10.446747340780682
2015-07-21,3,11.0,16.0,8.0,22.0,18.0,31.038461538461537,-15.594568247640689
2015-07-28,22,3.0,11.0,16.0,8.0,22.0,31.49038461538462,-10.380209667321214
2015-08-04,12,22.0,3.0,11.0,16.0,8.0,31.76923076923077,-2.7748254459760924
2015-08-11,28,12.0,22.0,3.0,11.0,16.0,31.85576923076923,-13.725326286593685
2015-08-18,15,28.0,12.0,22.0,3.0,11.0,31.70192307692308,3.5415922369841035
2015-08-25,29,15.0,28.0,12.0,22.0,3.0,31.634615384615387,1.9815876836388204
2015-09-01,17,29.0,15.0,28.0,12.0,22.0,31.68269230769231,1.7965831302935344
2015-09-08,17,17.0,29.0,15.0,28.0,12.0,31.375,-5.452523987154316
2015-09-15,7,17.0,17.0,29.0,15.0,28.0,30.855769230769234,-11.653554181525244
2015-09-22,23,7.0,17.0,17.0,29.0,15.0,30.375,-9.816122837434634
2015-09-29,4,23.0,7.0,17.0,17.0,29.0,30.09615384615385,-7.962665852318379
2015-10-06,28,4.0,23.0,7.0,17.0,17.0,29.95192307692308,2.8266885686953094
2015-10-13,51,28.0,4.0,23.0,7.0,17.0,29.923076923076927,-3.4480595743935667
2015-10-20,27,51.0,28.0,4.0,23.0,7.0,30.02884615384616,15.568858949184225
2015-10-27,32,27.0,51.0,28.0,4.0,23.0,29.875000000000004,-2.3693507323661898
2015-11-03,21,32.0,27.0,51.0,28.0,4.0,29.68269230769231,4.067439586083396
2015-11-10,44,21.0,32.0,27.0,51.0,28.0,30.11538461538462,-8.351539326236251
2015-11-17,50,44.0,21.0,32.0,27.0,51.0,30.538461538461537,1.5884561204184657
2015-11-24,46,50.0,44.0,21.0,32.0,27.0,30.576923076923073,1.9899900286116436
2015-12-01,36,46.0,50.0,44.0,21.0,32.0,30.65384615384616,7.70242137270225
2015-12-08,54,36.0,46.0,50.0,44.0,21.0,30.82692307692308,3.3763911783313225
2015-12-15,37,54.0,36.0,46.0,50.0,44.0,31.02884615384616,3.01510457370399
2015-12-22,56,37.0,54.0,36.0,46.0,50.0,31.163461538461537,-2.993617928359245
2015-12-29,74,56.0,37.0,54.0,36.0,46.0,31.19230769230769,7.734839056757005
2016-01-05,54,74.0,56.0,37.0,54.0,36.0,31.45192307692308,15.787013990591207
2016-01-12,35,54.0,74.0,56.0,37.0,54.0,31.778846153846153,4.215852646741412
2016-01-19,64,35.0,54.0,74.0,56.0,37.0,31.875000000000004,-8.582224276335516
2016-01-26,47,64.0,35.0,54.0,74.0,56.0,32.27884615384616,19.004314185202944
2016-02-02,53,47.0,64.0,35.0,54.0,74.0,32.94230769230769,12.36008341597218
2016-02-09,31,53.0,47.0,64.0,35.0,54.0,33.394230769230774,8.322591105215118
2016-02-16,21,31.0,53.0,47.0,64.0,35.0,33.56730769230769,5.202723469649115
2016-02-23,27,21.0,31.0,53.0,47.0,64.0,33.96153846153846,-8.27611852489125
2016-03-01,16,27.0,21.0,31.0,53.0,47.0,34.490384615384606,1.793116403645309
2016-03-08,12,16.0,27.0,21.0,31.0,53.0,34.78846153846154,-7.410084565254032
2016-03-15,18,12.0,16.0,27.0,21.0,31.0,35.04807692307692,-0.6036701495379853
2016-03-22,29,18.0,12.0,16.0,27.0,21.0,35.40384615384615,-2.476742913309121
2016-03-29,35,29.0,18.0,12.0,16.0,27.0,35.759615384615394,11.291209963945384
2016-04-05,32,35.0,29.0,18.0,12.0,16.0,36.46153846153847,3.3091628411998952
2016-04-12,49,32.0,35.0,29.0,18.0,12.0,37.269230769230774,3.5835259748646613
2016-04-19,25,49.0,32.0,35.0,29.0,18.0,37.567307692307686,8.200837826478145
2016-04-26,35,25.0,49.0,32.0,35.0,29.0,37.89423076923076,10.151483011424963
2016-05-03,53,35.0,25.0,49.0,32.0,35.0,38.307692307692314,-0.21838462414104487
2016-05-10,24,53.0,35.0,25.0,49.0,32.0,38.596153846153854,-3.171585593040384
2016-05-17,40,24.0,53.0,35.0,25.0,49.0,38.625,-8.08953015168331
