actor,place_of_death,date_of_death,cause_of_death,nb_women,nb_children,nb_civilians,nb_noncivilians
Syrian government and affiliated militias,Aleppo,11/20/16,Warplane shelling,6,42,74,15
Syrian government and affiliated militias,Aleppo,12/9/16,Shooting,0,0,72,9
Russian troops,Idlib,5/30/16,Warplane shelling,9,24,72,0
Syrian government and affiliated militias,Homs,7/13/16,Warplane shelling,21,0,69,15
Syrian government and affiliated militias,Idlib,7/8/16,Warplane shelling,27,6,69,15
Syrian government and affiliated militias,Aleppo,4/27/16,Warplane shelling,6,15,69,6
International coalition forces,Aleppo,7/18/16,Warplane shelling,0,9,69,0
Russian troops,Aleppo,7/16/16,Warplane shelling,18,21,67,0
Russian troops,Aleppo,9/19/16,Warplane shelling,3,0,67,0
Armed opposition groups,Aleppo,6/4/16,Shelling,3,24,66,0
Russian troops,Aleppo,7/14/16,Warplane shelling,12,12,66,0
Syrian government and affiliated militias,Aleppo,5/30/16,Shelling,6,12,66,0
Russian troops,Raqqa,6/21/16,Warplane shelling,6,9,65,0
Syrian government and affiliated militias,Homs,8/19/16,Shooting,11,13,63,6
Syrian government and affiliated militias,Hama,11/16/16,Detention - Torture,0,0,63,0
Syrian government and affiliated militias,Aleppo,9/19/16,Shelling,15,3,62,0
Syrian government and affiliated militias,Damascus Suburbs,6/30/16,Shooting,12,21,60,3
Not identified,Aleppo,7/16/16,Warplane shelling,15,15,60,0
Russian troops,Aleppo,11/5/16,Warplane shelling,3,12,60,0
Russian troops,Deir Ezzor,1/23/16,Warplane shelling,4,10,58,0
Syrian government and affiliated militias,Aleppo,7/13/16,Shooting,12,12,57,24
Syrian government and affiliated militias,Aleppo,7/17/16,Warplane shelling,9,9,57,9
Syrian government and affiliated militias,Aleppo,9/21/16,Warplane shelling,3,0,57,9
Syrian government and affiliated militias,Aleppo,8/27/16,Shooting,3,0,57,6
Russian troops,Aleppo,11/24/16,Warplane shelling,6,6,57,3
Syrian government and affiliated militias,Idlib,7/13/16,Warplane shelling,9,18,57,3
Armed opposition groups,Aleppo,12/10/16,Shelling,15,9,57,0
International coalition forces,Raqqa,11/9/16,Warplane shelling,21,15,57,0
Russian troops,Aleppo,7/1/16,Warplane shelling,0,21,57,0
Russian troops,Aleppo,11/27/16,Warplane shelling,3,9,57,0
Syrian government and affiliated militias,Aleppo,7/9/16,Warplane shelling,3,0,54,18
Syrian government and affiliated militias,Aleppo,5/29/16,Warplane shelling,3,9,54,9
Syrian government and affiliated militias,Damascus Suburbs,7/23/16,Shelling,12,24,54,6
Syrian government and affiliated militias,Aleppo,7/25/16,Warplane shelling,6,18,54,3
Syrian government and affiliated militias,Homs,5/19/16,Warplane shelling,12,19,54,3
Russian troops,Aleppo,9/7/16,Warplane shelling,3,24,54,0
Russian troops,Aleppo,11/25/16,Warplane shelling,12,18,54,0
Russian troops,Deir Ezzor,9/15/16,Warplane shelling,9,15,54,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,10/13/16,Shelling,0,0,52,9
Russian troops,Deir Ezzor,1/22/16,Warplane shelling,12,18,52,0
Syrian government and affiliated militias,Idlib,8/12/16,Shooting,21,6,51,51
Syrian government and affiliated militias,Homs,11/28/16,Shooting,18,3,51,9
Russian troops,Aleppo,10/3/16,Warplane shelling,0,3,51,0
Russian troops,Damascus Suburbs,12/29/16,Warplane shelling,9,24,51,0
Syrian government and affiliated militias,Aleppo,9/26/16,Shelling,3,0,51,0
Syrian government and affiliated militias,Aleppo,7/11/16,Shooting,0,12,48,45
Syrian government and affiliated militias,Damascus Suburbs,4/23/16,Detention - Torture,12,9,48,33
Syrian government and affiliated militias,Aleppo,5/5/16,Warplane shelling,15,18,48,21
Syrian government and affiliated militias,Aleppo,8/3/16,Shooting,3,21,48,20
Syrian government and affiliated militias,Idlib,9/21/16,Warplane shelling,14,12,48,15
Not identified,Aleppo,7/19/16,Unknown,3,15,48,6
Syrian government and affiliated militias,Damascus Suburbs,11/6/16,Warplane shelling,3,24,48,6
Syrian government and affiliated militias,Damascus Suburbs,11/8/16,Warplane shelling,0,12,48,6
Syrian government and affiliated militias,Aleppo,7/8/16,Shooting,3,21,48,3
Syrian government and affiliated militias,Aleppo,8/20/16,Warplane shelling,3,24,48,3
Syrian government and affiliated militias,Damascus Suburbs,7/21/16,Warplane shelling,21,6,48,3
Syrian government and affiliated militias,Idlib,6/1/16,Shelling,6,9,48,3
Syrian government and affiliated militias,Idlib,8/10/16,Warplane shelling,3,15,48,3
Russian troops,Aleppo,8/12/16,Warplane shelling,12,25,48,0
Russian troops,Aleppo,11/18/16,Warplane shelling,3,27,48,0
Syrian government and affiliated militias,Homs,8/28/16,Warplane shelling,9,3,48,0
Syrian government and affiliated militias,Idlib,7/21/16,Warplane shelling,0,6,48,0
Syrian government and affiliated militias,Idlib,8/13/16,Warplane shelling,3,0,48,0
Syrian government and affiliated militias,Idlib,8/17/16,Warplane shelling,3,9,48,0
Syrian government and affiliated militias,Idlib,9/29/16,Warplane shelling,8,24,47,10
Not identified,Aleppo,6/5/16,Warplane shelling,7,0,46,0
Syrian government and affiliated militias,Hama,8/29/16,Shelling,6,18,45,30
Syrian government and affiliated militias,Aleppo,8/11/16,Chemical and toxic gases,3,12,45,29
Syrian government and affiliated militias,Aleppo,12/25/16,Shooting,0,0,45,6
Syrian government and affiliated militias,Aleppo,7/31/16,Shooting,6,12,45,3
Syrian government and affiliated militias,Aleppo,10/18/16,Warplane shelling,15,21,45,3
Russian troops,Aleppo,9/21/16,Warplane shelling,0,3,45,0
Syrian government and affiliated militias,Damascus Suburbs,7/24/16,Detention - Torture,6,9,45,0
Syrian government and affiliated militias,Homs,5/18/16,Warplane shelling,9,27,45,0
Syrian government and affiliated militias,Damascus Suburbs,9/12/16,Warplane shelling,0,0,44,6
Russian troops,Aleppo,10/13/16,Warplane shelling,3,9,44,0
Syrian government and affiliated militias,Aleppo,6/6/16,Warplane shelling,12,12,43,0
Syrian government and affiliated militias,Aleppo,11/3/16,Shelling,3,15,42,21
Syrian government and affiliated militias,Aleppo,6/15/16,Warplane shelling,0,0,42,18
Syrian government and affiliated militias,Aleppo,4/24/16,Warplane shelling,6,6,42,14
Armed opposition groups,Aleppo,5/3/16,Shelling,9,12,42,0
Not identified,Aleppo,12/2/16,Shelling,6,15,42,0
Russian troops,Aleppo,7/27/16,Warplane shelling,0,12,42,0
Russian troops,Aleppo,9/10/16,Warplane shelling,15,15,42,0
Russian troops,Aleppo,9/26/16,Warplane shelling,6,12,42,0
Russian troops,Aleppo,9/29/16,Warplane shelling,0,12,42,0
Russian troops,Aleppo,11/6/16,Warplane shelling,3,33,42,0
Russian troops,Aleppo,11/19/16,Warplane shelling,27,3,42,0
Syrian government and affiliated militias,Deir Ezzor,8/9/16,Warplane shelling,3,3,42,0
Syrian government and affiliated militias,Aleppo,8/25/16,Shooting,12,29,41,6
Not identified,Daraa,3/23/16,Shelling,3,14,41,0
Syrian government and affiliated militias,Damascus Suburbs,8/23/16,Warplane shelling,9,18,39,12
Russian troops,Idlib,7/20/16,Warplane shelling,3,2,39,3
Syrian government and affiliated militias,Damascus Suburbs,8/22/16,Warplane shelling,6,15,39,3
Syrian government and affiliated militias,Hama,12/4/16,Warplane shelling,0,0,39,3
Syrian government and affiliated militias,Idlib,5/13/16,Warplane shelling,6,9,39,3
Armed opposition groups,Aleppo,8/6/16,Shelling,12,12,39,0
Armed opposition groups,Aleppo,9/30/16,Shelling,9,15,39,0
International coalition forces,Aleppo,10/24/16,Warplane shelling,0,9,39,0
International coalition forces,Aleppo,12/9/16,Warplane shelling,9,24,39,0
Not identified,Idlib,7/23/16,Warplane shelling,15,3,39,0
Russian troops,Aleppo,8/22/16,Warplane shelling,9,15,39,0
Syrian government and affiliated militias,Aleppo,9/24/16,Warplane shelling,12,11,39,0
Russian troops,Aleppo,10/5/16,Warplane shelling,15,21,37,0
Russian troops,Deir Ezzor,6/5/16,Warplane shelling,6,0,37,0
Syrian government and affiliated militias,Aleppo,6/28/16,Shooting,0,0,36,18
Syrian government and affiliated militias,Aleppo,12/11/16,Shooting,3,30,36,18
Syrian government and affiliated militias,Idlib,11/6/16,Shooting,0,6,36,15
Syrian government and affiliated militias,Aleppo,6/11/16,Shooting,12,9,36,9
Syrian government and affiliated militias,Aleppo,8/5/16,Shooting,3,21,36,6
Syrian government and affiliated militias,Idlib,5/9/16,Shooting,3,12,36,6
Not identified,Aleppo,7/14/16,Warplane shelling,9,3,36,3
Syrian government and affiliated militias,Aleppo,4/19/16,Warplane shelling,0,9,36,3
Syrian government and affiliated militias,Aleppo,5/26/16,Shooting,6,9,36,3
Syrian government and affiliated militias,Aleppo,9/9/16,Warplane shelling,0,24,36,3
Syrian government and affiliated militias,Aleppo,9/17/16,Warplane shelling,3,9,36,3
Syrian government and affiliated militias,Damascus Suburbs,7/19/16,Shooting,9,6,36,3
Syrian government and affiliated militias,Damascus Suburbs,11/10/16,Warplane shelling,9,18,36,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/19/16,Kidnapping - Execution,0,0,36,3
Syrian government and affiliated militias,Idlib,12/11/16,Shelling,3,6,36,2
Armed opposition groups,Aleppo,3/1/16,Shelling,0,2,36,0
International coalition forces,Aleppo,10/8/16,Warplane shelling,12,12,36,0
International coalition forces,Aleppo,12/12/16,Warplane shelling,0,12,36,0
Not identified,Aleppo,12/30/16,Shelling,3,0,36,0
Not identified,Homs,5/5/16,Explosion,9,0,36,0
Russian troops,Aleppo,2/26/16,Warplane shelling,14,16,36,0
Russian troops,Aleppo,7/15/16,Warplane shelling,9,9,36,0
Russian troops,Aleppo,11/4/16,Warplane shelling,9,21,36,0
Russian troops,Aleppo,11/13/16,Warplane shelling,3,6,36,0
Russian troops,Deir Ezzor,5/11/16,Warplane shelling,3,12,36,0
Syrian government and affiliated militias,Aleppo,4/30/16,Shelling,0,27,36,0
Syrian government and affiliated militias,Aleppo,5/31/16,Shelling,3,0,36,0
Syrian government and affiliated militias,Aleppo,10/10/16,Shelling,3,9,36,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,8/23/16,Explosion,3,27,36,0
Syrian government and affiliated militias,Aleppo,8/8/16,Warplane shelling,8,9,35,15
Syrian government and affiliated militias,Aleppo,8/18/16,Warplane shelling,6,6,35,0
Syrian government and affiliated militias,Deir Ezzor,7/15/16,Warplane shelling,12,15,35,0
Syrian government and affiliated militias,Deir Ezzor,8/16/16,Warplane shelling,3,3,34,3
Syrian government and affiliated militias,Idlib,8/30/16,Warplane shelling,15,6,33,27
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,10/11/16,Shooting,6,0,33,15
Syrian government and affiliated militias,Idlib,9/6/16,Warplane shelling,0,12,33,9
Syrian government and affiliated militias,Damascus Suburbs,5/29/16,Shelling,3,9,33,6
Syrian government and affiliated militias,Damascus Suburbs,10/5/16,Warplane shelling,6,3,33,6
Syrian government and affiliated militias,Aleppo,8/4/16,Shooting,9,6,33,3
Syrian government and affiliated militias,Idlib,10/20/16,Warplane shelling,9,12,33,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,6/25/16,Explosion,6,18,33,3
Armed opposition groups,Aleppo,4/25/16,Shelling,3,12,33,0
Armed opposition groups,Aleppo,6/26/16,Shelling,9,9,33,0
Armed opposition groups,Aleppo,8/10/16,Shelling,0,15,33,0
Armed opposition groups,Aleppo,10/6/16,Shelling,3,3,33,0
Armed opposition groups,Aleppo,10/7/16,Shelling,6,12,33,0
International coalition forces,Aleppo,10/5/16,Warplane shelling,0,0,33,0
Not identified,Aleppo,11/19/16,Shelling,15,9,33,0
Not identified,Aleppo,11/27/16,Shelling,6,18,33,0
Russian troops,Idlib,8/10/16,Warplane shelling,3,9,33,0
Russian troops,Idlib,11/20/16,Warplane shelling,6,9,33,0
Syrian government and affiliated militias,Idlib,7/22/16,Warplane shelling,3,12,33,0
Syrian government and affiliated militias,Idlib,11/29/16,Warplane shelling,3,15,33,0
Syrian government and affiliated militias,Aleppo,7/23/16,Explosion,6,11,32,4
Russian troops,Aleppo,1/29/16,Warplane shelling,8,20,32,0
Russian troops,Aleppo,2/4/16,Warplane shelling,0,14,32,0
Russian troops,Deir Ezzor,1/27/16,Warplane shelling,4,4,32,0
Russian troops,Idlib,2/15/16,Warplane shelling,4,4,32,0
Syrian government and affiliated militias,Aleppo,11/18/16,Shooting,6,12,30,24
Syrian government and affiliated militias,Homs,7/16/16,Shelling,3,6,30,15
Syrian government and affiliated militias,Idlib,6/14/16,Detention - Torture,0,0,30,13
Syrian government and affiliated militias,Idlib,8/18/16,Shooting,0,6,30,12
Syrian government and affiliated militias,Idlib,8/21/16,Warplane shelling,5,9,30,12
Syrian government and affiliated militias,Damascus Suburbs,12/23/16,Warplane shelling,3,0,30,9
Syrian government and affiliated militias,Idlib,8/14/16,Shooting,6,15,30,9
Syrian government and affiliated militias,Aleppo,6/17/16,Warplane shelling,0,0,30,6
Syrian government and affiliated militias,Damascus Suburbs,7/27/16,Warplane shelling,3,5,30,6
Syrian government and affiliated militias,Idlib,7/28/16,Warplane shelling,3,18,30,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,8/22/16,Explosion,3,12,30,3
Armed opposition groups,Aleppo,4/27/16,Shelling,6,4,30,0
Armed opposition groups,Aleppo,6/5/16,Shelling,3,0,30,0
Armed opposition groups,Aleppo,8/17/16,Shelling,6,6,30,0
Armed opposition groups,Aleppo,9/5/16,Shelling,3,15,30,0
Armed opposition groups,Aleppo,11/28/16,Shelling,6,15,30,0
Not identified,Deir Ezzor,7/23/16,Warplane shelling,6,15,30,0
Russian troops,Aleppo,1/9/16,Warplane shelling,6,6,30,0
Russian troops,Aleppo,5/21/16,Warplane shelling,6,9,30,0
Russian troops,Aleppo,7/2/16,Warplane shelling,9,12,30,0
Russian troops,Aleppo,11/3/16,Warplane shelling,6,21,30,0
Russian troops,Damascus Suburbs,1/6/16,Warplane shelling,0,6,30,0
Russian troops,Damascus Suburbs,9/30/16,Warplane shelling,3,21,30,0
Russian troops,Idlib,10/24/16,Warplane shelling,18,6,30,0
Syrian government and affiliated militias,Aleppo,11/16/16,Shelling,3,9,30,0
Syrian government and affiliated militias,Damascus Suburbs,4/19/16,Shelling,6,6,30,0
Syrian government and affiliated militias,Raqqa,6/1/16,Warplane shelling,3,3,30,0
Syrian government and affiliated militias,Damascus Suburbs,10/27/16,Shelling,3,5,29,13
Armed opposition groups,Aleppo,7/22/16,Shelling,2,6,29,0
Russian troops,Aleppo,6/5/16,Warplane shelling,2,0,29,0
Armed opposition groups,Aleppo,8/3/16,Shelling,4,15,28,0
Armed opposition groups,Daraa,2/8/16,Shelling,6,4,28,0
Russian troops,Homs,2/12/16,Warplane shelling,2,0,28,0
Syrian government and affiliated militias,Idlib,8/6/16,Shooting,5,10,27,30
Syrian government and affiliated militias,Aleppo,4/21/16,Shelling,3,18,27,21
Syrian government and affiliated militias,Idlib,10/1/16,Shooting,18,6,27,19
Syrian government and affiliated militias,Damascus Suburbs,7/25/16,Explosion,0,6,27,12
Syrian government and affiliated militias,Homs,11/21/16,Shelling,3,6,27,12
Syrian government and affiliated militias,Idlib,10/24/16,Shooting,9,6,27,12
Syrian government and affiliated militias,Idlib,11/13/16,Warplane shelling,6,18,27,9
Syrian government and affiliated militias,Aleppo,11/21/16,Warplane shelling,0,3,27,6
Syrian government and affiliated militias,Idlib,5/20/16,Shooting,12,6,27,6
Syrian government and affiliated militias,Idlib,11/9/16,Shelling,9,12,27,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,11/16/16,Shooting,3,12,27,3
Syrian government and affiliated militias,Idlib,11/2/16,Warplane shelling,9,0,27,1
Armed opposition groups,Aleppo,8/13/16,Shelling,3,6,27,0
Armed opposition groups,Aleppo,8/16/16,Shelling,3,3,27,0
Not identified,Idlib,7/21/16,Shelling,6,3,27,0
Russian troops,Aleppo,6/10/16,Warplane shelling,3,6,27,0
Russian troops,Aleppo,6/19/16,Warplane shelling,6,18,27,0
Russian troops,Aleppo,6/28/16,Warplane shelling,0,3,27,0
Russian troops,Aleppo,8/2/16,Warplane shelling,0,12,27,0
Russian troops,Aleppo,10/12/16,Warplane shelling,0,6,27,0
Russian troops,Aleppo,11/11/16,Warplane shelling,0,9,27,0
Russian troops,Aleppo,12/7/16,Warplane shelling,3,12,27,0
Russian troops,Aleppo,12/24/16,Warplane shelling,6,15,27,0
Russian troops,Idlib,8/11/16,Warplane shelling,3,6,27,0
Syrian government and affiliated militias,Aleppo,11/19/16,Shelling,0,6,27,0
Syrian government and affiliated militias,Damascus Suburbs,8/21/16,Shelling,6,3,27,0
Syrian government and affiliated militias,Damascus Suburbs,12/5/16,Shelling,3,9,27,0
Syrian government and affiliated militias,Daraa,9/18/16,Warplane shelling,0,9,27,0
Syrian government and affiliated militias,Homs,7/18/16,Unknown,3,0,27,0
Syrian government and affiliated militias,Idlib,7/29/16,Warplane shelling,9,3,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,8/5/16,Shooting,0,6,27,0
Russian troops,Aleppo,2/2/16,Warplane shelling,6,10,26,0
Russian troops,Deir Ezzor,1/30/16,Warplane shelling,6,6,26,0
Syrian government and affiliated militias,Deir Ezzor,4/16/16,Warplane shelling,0,0,25,3
Syrian government and affiliated militias,Daraa,7/31/16,Warplane shelling,9,6,25,0
Syrian government and affiliated militias,Idlib,8/2/16,Warplane shelling,6,9,24,33
Syrian government and affiliated militias,Aleppo,10/3/16,Shooting,3,0,24,12
Syrian government and affiliated militias,Aleppo,11/26/16,Warplane shelling,3,6,24,9
Syrian government and affiliated militias,Aleppo,11/22/16,Warplane shelling,0,0,24,8
Syrian government and affiliated militias,Aleppo,4/28/16,Warplane shelling,0,0,24,6
Syrian government and affiliated militias,Aleppo,9/28/16,Shooting,0,3,24,6
Syrian government and affiliated militias,Homs,11/3/16,Warplane shelling,3,18,24,6
Armed opposition groups,Aleppo,8/5/16,Explosion,9,9,24,3
Syrian government and affiliated militias,Aleppo,4/26/16,Shelling,3,6,24,3
Syrian government and affiliated militias,Aleppo,11/13/16,Explosion,3,12,24,3
Syrian government and affiliated militias,Damascus Suburbs,10/12/16,Shelling,9,0,24,3
Syrian government and affiliated militias,Homs,8/20/16,Shooting,0,6,24,3
Syrian government and affiliated militias,Homs,11/6/16,Warplane shelling,3,6,24,3
Armed opposition groups,Aleppo,4/28/16,Shelling,3,9,24,0
Armed opposition groups,Aleppo,10/4/16,Shelling,3,0,24,0
Armed opposition groups,Damascus,7/24/16,Shelling,9,3,24,0
Not identified,Aleppo,7/15/16,Warplane shelling,6,3,24,0
Not identified,Aleppo,7/18/16,Warplane shelling,0,12,24,0
Russian troops,Aleppo,1/27/16,Warplane shelling,6,0,24,0
Russian troops,Aleppo,9/16/16,Warplane shelling,9,0,24,0
Russian troops,Aleppo,9/28/16,Warplane shelling,0,9,24,0
Russian troops,Aleppo,12/3/16,Warplane shelling,0,0,24,0
Russian troops,Aleppo,12/6/16,Warplane shelling,3,18,24,0
Russian troops,Aleppo,12/30/16,Warplane shelling,0,3,24,0
Russian troops,Damascus Suburbs,11/20/16,Warplane shelling,3,9,24,0
Russian troops,Deir Ezzor,2/20/16,Warplane shelling,0,0,24,0
Russian troops,Hama,1/9/16,Warplane shelling,0,0,24,0
Russian troops,Hama,9/10/16,Warplane shelling,3,9,24,0
Russian troops,Homs,6/21/16,Warplane shelling,0,0,24,0
Russian troops,Idlib,1/16/16,Warplane shelling,6,18,24,0
Russian troops,Idlib,9/5/16,Warplane shelling,0,6,24,0
Russian troops,Idlib,12/10/16,Warplane shelling,0,0,24,0
Syrian government and affiliated militias,Aleppo,7/22/16,Warplane shelling,3,0,24,0
Syrian government and affiliated militias,Damascus Suburbs,10/2/16,Shelling,6,9,24,0
Syrian government and affiliated militias,Deir Ezzor,4/18/16,Warplane shelling,6,18,24,0
Syrian government and affiliated militias,Homs,6/2/16,Shelling,0,0,24,0
Syrian government and affiliated militias,Homs,12/5/16,Shelling,0,15,24,0
Syrian government and affiliated militias,Idlib,5/16/16,Shelling,12,9,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,6/23/16,Shooting,0,6,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,8/27/16,Kidnapping - Execution,0,3,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,10/21/16,Unknown,0,0,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,10/22/16,Explosion,0,15,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus Suburbs,6/11/16,Explosion,0,3,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,8/18/16,Shelling,6,3,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,3/7/16,Kidnapping - Execution,0,0,23,3
Armed opposition groups,Aleppo,11/9/16,Shelling,6,0,23,0
Syrian government and affiliated militias,Damascus Suburbs,5/17/16,Shooting,3,3,22,21
Armed opposition groups,Aleppo,5/29/16,Shelling,0,9,22,0
Armed opposition groups,Aleppo,6/18/16,Shelling,12,0,22,0
Russian troops,Aleppo,6/25/16,Warplane shelling,6,16,22,0
Syrian government and affiliated militias,Daraa,7/25/16,Shelling,6,10,22,0
Syrian government and affiliated militias,Aleppo,11/15/16,Shooting,3,9,21,39
Syrian government and affiliated militias,Hama,7/16/16,Shooting,0,0,21,15
Syrian government and affiliated militias,Aleppo,7/27/16,Shelling,3,9,21,12
Syrian government and affiliated militias,Homs,11/15/16,Shelling,0,9,21,12
Syrian government and affiliated militias,Aleppo,6/18/16,Shooting,3,9,21,9
Syrian government and affiliated militias,Homs,6/1/16,Warplane shelling,6,9,21,9
Syrian government and affiliated militias,Aleppo,4/23/16,Warplane shelling,0,6,21,6
Syrian government and affiliated militias,Aleppo,6/16/16,Warplane shelling,9,3,21,6
Syrian government and affiliated militias,Damascus Suburbs,8/17/16,Warplane shelling,6,6,21,6
Syrian government and affiliated militias,Damascus Suburbs,11/21/16,Shelling,3,6,21,6
International coalition forces,Aleppo,6/21/16,Warplane shelling,0,0,21,3
Not identified,Aleppo,7/26/16,Unknown,0,6,21,3
Russian troops,Aleppo,11/17/16,Warplane shelling,3,6,21,3
Syrian government and affiliated militias,Aleppo,6/20/16,Warplane shelling,9,6,21,3
Syrian government and affiliated militias,Aleppo,8/23/16,Warplane shelling,3,0,21,3
Syrian government and affiliated militias,Aleppo,9/6/16,Shooting,6,9,21,3
Syrian government and affiliated militias,Aleppo,12/4/16,Shooting,0,6,21,3
Syrian government and affiliated militias,Damascus Suburbs,7/22/16,Shelling,9,3,21,3
Syrian government and affiliated militias,Damascus Suburbs,8/14/16,Warplane shelling,6,0,21,3
Syrian government and affiliated militias,Damascus Suburbs,9/30/16,Warplane shelling,0,0,21,3
Syrian government and affiliated militias,Damascus Suburbs,12/29/16,Shooting,3,3,21,3
Syrian government and affiliated militias,Homs,7/2/16,Shooting,0,6,21,3
Syrian government and affiliated militias,Homs,8/13/16,Shelling,3,3,21,3
Syrian government and affiliated militias,Homs,11/10/16,Warplane shelling,9,12,21,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,8/15/16,Explosion,3,3,21,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,10/20/16,Shooting,0,0,21,3
Armed opposition groups,Aleppo,5/14/16,Shelling,6,6,21,0
Armed opposition groups,Aleppo,7/11/16,Shelling,6,0,21,0
Armed opposition groups,Aleppo,8/1/16,Shelling,12,3,21,0
Armed opposition groups,Aleppo,8/15/16,Shelling,3,9,21,0
Armed opposition groups,Aleppo,8/25/16,Shelling,6,3,21,0
International coalition forces,Aleppo,7/28/16,Warplane shelling,6,0,21,0
International coalition forces,Aleppo,12/7/16,Warplane shelling,3,18,21,0
Not identified,Aleppo,5/30/16,Warplane shelling,6,3,21,0
Not identified,Aleppo,11/20/16,Shelling,3,0,21,0
Not identified,Deir Ezzor,12/27/16,Warplane shelling,6,0,21,0
Not identified,Homs,12/12/16,Warplane shelling,9,12,21,0
Not identified,Idlib,6/13/16,Warplane shelling,0,0,21,0
Russian troops,Aleppo,7/24/16,Warplane shelling,0,0,21,0
Russian troops,Aleppo,8/13/16,Warplane shelling,3,3,21,0
Russian troops,Aleppo,9/11/16,Warplane shelling,0,0,21,0
Russian troops,Aleppo,10/4/16,Warplane shelling,0,3,21,0
Russian troops,Aleppo,10/14/16,Warplane shelling,0,0,21,0
Russian troops,Aleppo,11/26/16,Warplane shelling,3,0,21,0
Russian troops,Damascus Suburbs,8/5/16,Warplane shelling,3,9,21,0
Russian troops,Hama,11/22/16,Warplane shelling,0,0,21,0
