demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
58,2,221.72564598648083,24.128571428571433,15.857142857142858,0.3,36.0,52.0,44.0,53.0,26.0,43.08420911347679,-12.807136034747709
58,2,388.9571769963118,25.385714285714286,17.45,0.0,58.0,36.0,52.0,44.0,53.0,43.357974620572776,10.082378026989524
32,3,203.91777922854146,24.82857142857143,13.092857142857143,0.0,58.0,58.0,36.0,52.0,44.0,43.631740127668785,13.824456191290858
37,1,151.38852626192013,25.985714285714284,16.885714285714286,0.0,32.0,58.0,58.0,36.0,52.0,43.90550563476478,3.2908933299511767
50,2,156.57328905189775,26.91428571428571,15.285714285714285,0.0,37.0,32.0,58.0,58.0,36.0,44.179271141860774,-1.2843361980551828
55,1,142.20932151761502,27.314285714285717,16.428571428571427,0.0,50.0,37.0,32.0,58.0,58.0,44.453036648956754,-11.221745213241036
22,2,138.5196039382167,27.87142857142857,16.885714285714286,0.0,55.0,50.0,37.0,32.0,58.0,44.72680215605276,-3.418666177674597
47,3,139.80512555796142,28.02857142857143,19.65714285714285,0.0,22.0,55.0,50.0,37.0,32.0,45.00056766314874,-29.811484287948737
15,2,287.70612039690474,27.942857142857147,18.15,0.0,47.0,22.0,55.0,50.0,37.0,45.274333170244745,2.0969796530591704
49,3,138.60799647929295,28.02857142857143,19.06428571428572,0.0,15.0,47.0,22.0,55.0,50.0,45.54809867734075,-3.972120508497023
32,1,138.72947912932148,28.40000000000001,16.55,0.0,49.0,15.0,47.0,22.0,55.0,45.16346153846154,11.575682776041074
26,4,152.1570146606666,28.657142857142862,16.435714285714287,0.0,32.0,49.0,15.0,47.0,22.0,45.81730769230769,4.979248039927139
63,2,140.35075927291882,28.500000000000004,11.714285714285712,0.0,26.0,32.0,49.0,15.0,47.0,46.41346153846154,-4.613981567981674
59,1,140.51583307609846,29.442857142857147,14.014285714285714,0.0,63.0,26.0,32.0,49.0,15.0,46.78846153846154,-3.7328522015315087
