demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
5,3,332.71173667702703,19.428571428571427,19.29285714285714,1.3,14.0,5.0,15.0,16.0,3.0,36.92307692307692,-10.38811241673178
5,3,149.19325503302005,21.04285714285714,14.242857142857144,0.6,5.0,14.0,5.0,15.0,16.0,38.83653846153846,-17.540614321256008
1,3,265.90064407708246,21.814285714285717,12.064285714285715,2.3,5.0,5.0,14.0,5.0,15.0,40.980769230769226,-14.388629046293065
4,1,166.10572139187138,24.74285714285714,13.442857142857143,3.1,1.0,5.0,5.0,14.0,5.0,43.105769230769226,-19.624464284150623
8,3,424.21587223399627,24.2,14.135714285714286,0.6,4.0,1.0,5.0,5.0,14.0,44.71153846153847,-13.847479009187676
12,1,521.205637585472,24.6,15.742857142857144,3.0,8.0,4.0,1.0,5.0,5.0,46.22115384615386,-14.807673221404213
6,2,153.58090466533105,24.585714285714282,11.828571428571427,0.0,12.0,8.0,4.0,1.0,5.0,47.93269230769232,-17.049918715672042
111,3,255.08887156713573,24.342857142857145,11.942857142857141,0.0,6.0,12.0,8.0,4.0,1.0,49.451923076923094,-12.074215491991145
86,1,289.82086896348864,25.657142857142855,17.235714285714288,0.0,111.0,6.0,12.0,8.0,4.0,50.95192307692307,18.789308244510273
88,4,366.22390840471627,25.67142857142857,19.87142857142857,0.0,86.0,111.0,6.0,12.0,8.0,52.55769230769232,3.774626852806552
89,1,395.0797204133365,26.3,13.671428571428569,0.0,88.0,86.0,111.0,6.0,12.0,54.144230769230774,8.163791614948988
81,1,256.33725884144656,26.771428571428572,14.135714285714286,0.0,89.0,88.0,86.0,111.0,6.0,55.471153846153854,-0.6613619783628613
39,1,170.05455882654155,27.314285714285713,14.478571428571426,0.0,81.0,89.0,88.0,86.0,111.0,57.06730769230769,-13.423979314568305
118,2,167.40125553286424,28.657142857142862,11.828571428571427,0.0,39.0,81.0,89.0,88.0,86.0,58.92307692307693,-2.6064684456455467
100,3,235.92941842583141,29.385714285714283,12.985714285714286,0.0,118.0,39.0,81.0,89.0,88.0,60.01923076923079,16.797580884815673
94,2,346.22682005880586,29.5,13.085714285714285,0.0,100.0,118.0,39.0,81.0,89.0,60.85576923076924,0.5097621232818108
79,3,250.10940562030984,29.985714285714284,13.428571428571427,0.0,94.0,100.0,118.0,39.0,81.0,62.086538461538474,-12.077917410963506
81,2,184.16361515872,29.271428571428572,14.935714285714289,0.0,79.0,94.0,100.0,118.0,39.0,63.67307692307693,-3.4668789964908715
69,1,158.09857216652804,29.357142857142858,10.564285714285717,0.0,81.0,79.0,94.0,100.0,118.0,65.03846153846155,-6.432763658941318
81,1,159.48634255670626,29.21428571428571,9.535714285714286,0.0,69.0,81.0,79.0,94.0,100.0,66.08653846153847,-8.00121242395586
80,1,109.51373860244844,30.4,11.02142857142857,0.0,81.0,69.0,81.0,79.0,94.0,67.41346153846153,-6.04081503512425
97,2,113.74050490935385,28.814285714285717,11.492857142857142,0.0,80.0,81.0,69.0,81.0,79.0,68.59615384615384,-12.30477662065162
