demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
40,3,147.52670643127001,28.02857142857143,19.65714285714285,0.0,26.0,50.0,36.0,61.0,42.75739973336661,-28.6082344403654
18,2,294.0767818932507,27.942857142857147,18.15,0.0,40.0,26.0,50.0,36.0,42.84360859728507,7.147062107191879
51,3,140.30938835006742,28.02857142857143,19.06428571428572,0.0,18.0,40.0,26.0,50.0,44.53846153846154,11.981528577714439
38,1,147.72537301503448,28.40000000000001,16.55,0.0,51.0,18.0,40.0,26.0,44.62500000000001,10.717484490167617
41,4,164.92997875385663,28.657142857142862,16.435714285714287,0.0,38.0,51.0,18.0,40.0,44.519230769230774,-0.07540575122534797
48,2,151.93731121128332,28.500000000000004,11.714285714285712,0.0,41.0,38.0,51.0,18.0,44.28846153846154,3.2823450330227013
32,1,149.16119185994813,29.442857142857147,14.014285714285714,0.0,48.0,41.0,38.0,51.0,44.20192307692307,7.6849676121425485
51,2,216.67776898409556,28.571428571428577,11.6,0.0,32.0,48.0,41.0,38.0,44.355769230769226,-2.2906149369427298
36,2,135.32577063195959,28.1,15.164285714285715,0.0,51.0,32.0,48.0,41.0,44.31730769230769,0.6536743088437819
36,1,169.62627738948876,27.7,14.235714285714286,0.0,36.0,51.0,32.0,48.0,44.29807692307693,-15.055882599215856
42,1,263.89250020465084,26.6,22.300000000000004,16.0,36.0,36.0,51.0,32.0,44.480769230769226,-7.823131814967803
23,3,128.52077614999587,25.342857142857138,13.192857142857141,8.9,42.0,36.0,36.0,51.0,44.25,-11.285893851232574
60,1,147.3543433336823,25.17142857142857,10.678571428571429,5.8,23.0,42.0,36.0,36.0,44.18269230769232,1.2737800099385517
47,2,244.44156065939887,22.7,15.971428571428573,29.800000000000004,60.0,23.0,42.0,36.0,44.528846153846146,12.077043614699425
37,1,127.80122864757334,23.228571428571428,10.571428571428571,0.0,47.0,60.0,23.0,42.0,44.46153846153847,7.534153373306447
50,1,244.582438204952,21.828571428571426,11.95,16.5,37.0,47.0,60.0,23.0,44.00000000000001,6.693186208836554
50,2,247.29137080029238,20.628571428571426,8.735714285714286,0.0,50.0,37.0,47.0,60.0,43.97115384615384,-1.2214989043512872
87,3,183.148415771314,20.4,11.714285714285715,46.3,50.0,50.0,37.0,47.0,44.25,4.876636495281381
43,1,269.54253763020483,18.18571428571429,17.928571428571427,37.9,87.0,50.0,50.0,37.0,44.153846153846146,13.36259240773456
53,3,137.09378685065437,17.7,12.985714285714286,19.3,43.0,87.0,50.0,50.0,43.96153846153847,-8.90786193622252
28,1,172.36733261652537,20.4,9.428571428571429,13.0,53.0,43.0,87.0,50.0,43.81730769230769,2.840914489051173
44,2,274.01678826786844,18.414285714285715,13.664285714285715,6.699999999999998,28.0,53.0,43.0,87.0,43.78846153846153,-9.69556549593154
28,2,495.8699226951202,17.014285714285712,10.571428571428571,17.0,44.0,28.0,53.0,43.0,43.980769230769226,-3.398712147580929
44,4,327.19062223784437,16.75714285714286,14.592857142857143,3.0,28.0,44.0,28.0,53.0,43.884615384615394,-10.018525465896976
10,2,243.04366444330762,14.914285714285715,18.95,34.6,44.0,28.0,44.0,28.0,43.71153846153846,-7.1671849380591794
