demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
122,1,504.73709285072374,24.6,15.742857142857144,3.0,123.0,111.0,111.0,110.0,143.0,135.28846153846158,-11.494577612919645
127,2,147.8564842497624,24.585714285714282,11.828571428571427,0.0,122.0,123.0,111.0,111.0,110.0,136.35576923076923,26.19386165136484
128,3,248.16637839808118,24.342857142857145,11.942857142857141,0.0,127.0,122.0,123.0,111.0,111.0,137.30769230769232,-4.848468315119918
114,1,284.6151630807675,25.657142857142855,17.235714285714288,0.0,128.0,127.0,122.0,123.0,111.0,138.31730769230768,-0.3907982816046615
134,4,366.3959753678413,25.67142857142857,19.87142857142857,0.0,114.0,128.0,127.0,122.0,123.0,139.61538461538458,-15.026076966038131
114,1,398.784088038704,26.3,13.671428571428569,0.0,134.0,114.0,128.0,127.0,122.0,141.47115384615387,-6.6325094966254605
66,1,255.43835894038497,26.771428571428572,14.135714285714286,0.0,114.0,134.0,114.0,128.0,127.0,143.11538461538458,-27.74197147947603
76,1,164.44523865453291,27.314285714285713,14.478571428571426,0.0,66.0,114.0,134.0,114.0,128.0,144.38461538461542,-58.66823355514478
164,2,165.34012215829915,28.657142857142862,11.828571428571427,0.0,76.0,66.0,114.0,134.0,114.0,145.3653846153846,-37.83167511799296
174,3,226.20350221911065,29.385714285714283,12.985714285714286,0.0,164.0,76.0,66.0,114.0,134.0,146.17307692307696,7.729242293517808
105,2,338.1664309546827,29.5,13.085714285714285,0.0,174.0,164.0,76.0,66.0,114.0,146.05769230769232,26.655642009371533
114,3,241.9945633346221,29.985714285714284,13.428571428571427,0.0,105.0,174.0,164.0,76.0,66.0,144.8269230769231,-28.27316189468422
134,2,166.71196639574237,29.271428571428572,14.935714285714289,0.0,114.0,105.0,174.0,164.0,76.0,143.72115384615384,-16.94555554232972
151,1,155.89001013322988,29.357142857142858,10.564285714285717,0.0,134.0,114.0,105.0,174.0,164.0,142.0769230769231,10.869230297204261
131,1,150.36836691986392,29.21428571428571,9.535714285714286,0.0,151.0,134.0,114.0,105.0,174.0,140.1730769230769,4.414785367507466
149,1,119.73695048369845,30.4,11.02142857142857,0.0,131.0,151.0,134.0,114.0,105.0,138.27884615384613,-2.0428646903944347
120,2,117.56951795130188,28.814285714285717,11.492857142857142,0.0,149.0,131.0,151.0,134.0,114.0,135.9230769230769,-21.032566030347635
51,1,119.9405160641516,28.5,12.514285714285714,0.0,120.0,149.0,131.0,151.0,134.0,134.49038461538464,-30.342780190813674
132,2,166.95558448410063,27.87142857142857,11.142857142857142,0.0,51.0,120.0,149.0,131.0,151.0,134.05769230769232,-17.239532812818133
104,2,153.81295664374167,25.885714285714283,13.9,5.1,132.0,51.0,120.0,149.0,131.0,133.3269230769231,-16.78051620405338
226,3,148.7848177555266,26.057142857142853,9.764285714285714,0.0,104.0,132.0,51.0,120.0,149.0,132.875,-19.27662780041684
209,2,156.9651965226074,25.085714285714282,11.95,56.6,226.0,104.0,132.0,51.0,120.0,132.90384615384613,24.59585034680946
159,3,282.84526519091037,22.371428571428577,10.571428571428571,9.9,209.0,226.0,104.0,132.0,51.0,133.0,27.340123365830607
188,4,274.86205506012084,22.214285714285715,10.335714285714284,5.8,159.0,209.0,226.0,104.0,132.0,133.25,-24.65598823053284
140,3,319.4314017725323,20.7,8.85,3.0,188.0,159.0,209.0,226.0,104.0,133.4326923076923,12.453669403872945
196,3,233.7686641936492,20.45714285714286,8.392857142857142,0.0,140.0,188.0,159.0,209.0,226.0,133.53846153846158,-0.6129550130033453
143,3,177.95138626393563,20.15714285714285,10.007142857142854,29.9,196.0,140.0,188.0,159.0,209.0,133.28846153846152,18.46144621114604
161,2,263.5010994303953,14.757142857142856,12.414285714285713,4.4,143.0,196.0,140.0,188.0,159.0,133.77884615384616,6.599949999397963
186,4,235.7568737112083,16.914285714285715,7.364285714285713,7.1,161.0,143.0,196.0,140.0,188.0,134.3269230769231,-2.2679564687603664
204,3,287.8915796600832,16.84285714285714,9.314285714285717,17.3,186.0,161.0,143.0,196.0,140.0,134.2980769230769,27.941060140004385
237,2,245.01578608483214,16.842857142857145,6.564285714285715,0.5,204.0,186.0,161.0,143.0,196.0,134.18269230769232,30.23982033851272
150,1,206.63900622114681,13.1,17.464285714285715,22.4,237.0,204.0,186.0,161.0,143.0,133.42307692307696,37.522554895995405
166,3,261.3550678200407,15.971428571428572,14.135714285714286,13.7,150.0,237.0,204.0,186.0,161.0,132.51923076923077,-8.622907793937024
156,1,287.03585469537586,15.257142857142856,16.542857142857144,14.2,166.0,150.0,237.0,204.0,186.0,131.83653846153842,9.66074605221683
213,2,235.13062609889855,12.214285714285715,14.364285714285714,9.1,156.0,166.0,150.0,237.0,204.0,131.84615384615384,12.670361436832211
119,3,552.1806749254147,12.057142857142857,8.735714285714286,0.0,213.0,156.0,166.0,150.0,237.0,132.1730769230769,64.92036143683221
75,3,329.1364949280054,14.585714285714285,14.935714285714289,0.0,119.0,213.0,156.0,166.0,150.0,132.375,22.846163389297924
53,2,250.36485208349444,16.75714285714286,8.392857142857142,0.3,75.0,119.0,213.0,156.0,166.0,132.28846153846158,-10.465397346417603
38,2,345.0780772957265,18.18571428571429,12.757142857142856,25.200000000000006,53.0,75.0,119.0,213.0,156.0,131.9230769230769,-21.770547825722872
105,3,328.67799948553056,18.5,8.507142857142858,0.0,38.0,53.0,75.0,119.0,213.0,132.0480769230769,-13.646211125540946
