date,demand,civilians_rank,distance
2015-11-03,78,3,291.1016957598875
2015-11-10,54,4,285.3556267215885
2015-11-17,88,3,326.24725053629464
2015-11-24,64,3,240.7493585719894
2015-12-01,73,3,192.87500703128867
2015-12-08,90,2,279.0021568963129
2015-12-15,93,4,252.95216505675717
2015-12-22,89,3,312.95432888928326
2015-12-29,82,2,260.96747248340944
2016-01-05,52,1,224.60387261386262
2016-01-12,81,3,272.53554929695355
2016-01-19,71,1,314.76692150716383
2016-01-26,38,2,261.72855514677786
2016-02-02,55,3,573.9611911012443
2016-02-09,91,3,341.07581848222117
2016-02-16,66,2,267.3044494316712
2016-02-23,70,2,361.3467327149136
2016-03-01,70,3,337.9712768425143
2016-03-08,67,1,329.79149330207736
2016-03-15,66,1,195.8279900957951
2016-03-22,55,1,384.22284560928114
2016-03-29,57,1,345.47184813590286
2016-04-05,59,1,448.5169734055944
2016-04-12,56,1,217.9044497232859
2016-04-19,48,4,314.6206340298981
2016-04-26,54,4,308.9577462080223
2016-05-03,49,4,289.07492072540987
2016-05-10,46,3,348.24398694294007
2016-05-17,57,3,264.59467390634916
2016-05-24,68,4,321.2955316157468
2016-05-31,72,4,195.23944951432773
2016-06-07,37,4,328.10393951807947
2016-06-14,55,4,338.76437156629817
2016-06-21,64,4,277.4739780266264
2016-06-28,45,4,212.83331656493192
2016-07-05,48,4,262.7702987481591
2016-07-12,39,4,224.11951389030293
2016-07-19,90,4,221.61372138524345
2016-07-26,63,4,208.5502390934947
2016-08-02,67,4,218.1098352535269
2016-08-09,59,4,217.88368021716698
2016-08-16,55,4,234.58807799522208
2016-08-23,78,4,384.43834261652916
2016-08-30,53,4,190.3855949728634
2016-09-06,64,4,198.59322042197448
2016-09-13,32,4,191.15147551030282
2016-09-20,66,4,309.67532553171526
2016-09-27,77,4,330.978505754656
2016-10-04,74,4,206.3915172718752
2016-10-11,46,4,204.11149601297438
2016-10-18,73,4,192.49537575924742
2016-10-25,76,3,214.1571776622539
2016-11-01,74,3,191.9029872474057
2016-11-08,60,4,255.05908044557157
2016-11-15,81,4,195.82804893534302
2016-11-22,65,4,196.2342392420316
2016-11-29,63,4,193.42508526477852
2016-12-06,51,4,211.41133222677692
2016-12-13,65,4,220.8052436386959
2016-12-20,55,1,205.84777209139344
2016-12-27,214,3,166.34208095923196
2017-01-03,127,2,202.69176400416455
