date,demand,civilians_rank,distance
2016-05-10,52,3,348.24398694294007
2016-05-17,61,3,264.59467390634916
2016-05-24,70,4,321.2955316157468
2016-05-31,77,4,195.23944951432773
2016-06-07,75,4,328.10393951807947
2016-06-14,64,4,338.76437156629817
2016-06-21,55,4,277.4739780266264
2016-06-28,74,4,212.83331656493192
2016-07-05,64,4,262.7702987481591
2016-07-12,38,4,224.11951389030293
2016-07-19,80,4,221.61372138524345
2016-07-26,105,4,208.5502390934947
2016-08-02,77,4,218.1098352535269
2016-08-09,98,4,217.88368021716698
2016-08-16,101,4,234.58807799522208
2016-08-23,108,4,384.43834261652916
2016-08-30,89,4,190.3855949728634
2016-09-06,85,4,198.59322042197448
2016-09-13,45,4,191.15147551030282
2016-09-20,121,4,309.67532553171526
2016-09-27,107,4,330.978505754656
2016-10-04,142,4,206.3915172718752
2016-10-11,104,4,204.11149601297438
2016-10-18,81,4,192.49537575924742
2016-10-25,110,3,214.1571776622539
2016-11-01,126,3,191.9029872474057
2016-11-08,85,4,255.05908044557157
2016-11-15,119,4,195.82804893534302
2016-11-22,111,4,196.2342392420316
2016-11-29,88,4,193.42508526477852
2016-12-06,73,4,211.41133222677692
2016-12-13,100,4,220.8052436386959
2016-12-20,80,1,205.84777209139344
2016-12-27,184,3,166.34208095923196
2017-01-03,145,2,202.69176400416455
