date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2016-01-19,159,1,191.0,192.0,248.0,214.0,171.75000000000003,-9.094000687106387
2016-01-26,181,2,159.0,191.0,192.0,248.0,172.36538461538467,-8.324769917875656
2016-02-02,282,3,181.0,159.0,191.0,192.0,173.40384615384616,-8.911383903650774
2016-02-09,203,3,282.0,181.0,159.0,191.0,174.23076923076923,41.69708326629189
2016-02-16,210,2,203.0,282.0,181.0,159.0,175.64423076923077,20.722217102901226
2016-02-23,210,2,210.0,203.0,282.0,181.0,176.8461538461539,16.785812477972087
2016-03-01,188,3,210.0,210.0,203.0,282.0,177.50961538461542,12.003254006889136
2016-03-08,199,1,188.0,210.0,210.0,203.0,178.22115384615387,7.111721176831773
2016-03-15,173,1,199.0,188.0,210.0,210.0,179.1826923076923,20.31313706472318
2016-03-22,171,1,173.0,199.0,188.0,210.0,179.24038461538458,3.838270901332532
2016-03-29,142,1,171.0,173.0,199.0,188.0,178.9423076923077,1.2864816610187697
2016-04-05,153,1,142.0,171.0,173.0,199.0,180.61538461538464,1.718666779679392
2016-04-12,166,1,153.0,142.0,171.0,173.0,182.88461538461542,-30.916455793967685
2016-04-19,180,4,166.0,153.0,142.0,171.0,184.23076923076923,4.256113940077541
2016-04-26,145,4,180.0,166.0,153.0,142.0,185.3942307692308,11.72996572540482
2016-05-03,159,4,145.0,180.0,166.0,153.0,186.11538461538458,-24.70964402772941
2016-05-10,188,3,159.0,145.0,180.0,166.0,186.5480769230769,1.9725410909311933
2016-05-17,151,3,188.0,159.0,145.0,180.0,187.11538461538456,12.302162107027721
2016-05-24,171,4,151.0,188.0,159.0,145.0,187.88461538461542,-3.650268158927057
2016-05-31,137,4,171.0,151.0,188.0,159.0,188.84615384615387,21.38448106229765
2016-06-07,156,4,137.0,171.0,151.0,188.0,190.00000000000003,-24.47179535750327
2016-06-14,149,4,156.0,137.0,171.0,151.0,191.50961538461542,-9.888969213201626
2016-06-21,131,4,149.0,156.0,137.0,171.0,193.13461538461544,-7.453578966335896
2016-06-28,172,4,131.0,149.0,156.0,137.0,194.34615384615384,-17.540624616906037
2016-07-05,92,4,172.0,131.0,149.0,156.0,195.39423076923072,-21.948183087988987
2016-07-12,104,4,92.0,172.0,131.0,149.0,183.0613166501389,-33.99797531424648
2016-07-19,212,4,104.0,92.0,172.0,131.0,183.11806490487228,-43.783424229214944
2016-07-26,191,4,212.0,104.0,92.0,172.0,183.17481315960566,-26.392591092901373
2016-08-02,235,4,191.0,212.0,104.0,92.0,183.2315614143391,-29.187213466245066
2016-08-09,228,4,235.0,191.0,212.0,104.0,183.28830966907245,-3.9048474998741365
2016-08-16,240,4,228.0,235.0,191.0,212.0,183.34505792380588,-4.5487635847852905
2016-08-23,184,4,240.0,228.0,235.0,191.0,183.40180617853932,12.038089561072832
2016-08-30,260,4,184.0,240.0,228.0,235.0,183.4585544332727,-14.054544472556262
2016-09-06,199,4,260.0,184.0,240.0,228.0,183.5153026880061,18.936154827148
2016-09-13,155,4,199.0,260.0,184.0,240.0,183.57205094273948,1.9557002806984196
2016-09-20,178,4,155.0,199.0,260.0,184.0,183.62879919747292,-21.03116452216144
2016-09-27,256,4,178.0,155.0,199.0,260.0,183.6855474522063,-14.601362658354617
2016-10-04,232,4,256.0,178.0,155.0,199.0,183.7422957069397,-24.229253102240094
2016-10-11,259,4,232.0,256.0,178.0,155.0,183.79904396167308,-22.257784571766628
2016-10-18,213,4,259.0,232.0,256.0,178.0,183.85579221640648,25.95406857409147
2016-10-25,213,3,213.0,259.0,232.0,256.0,183.91254047113992,-2.9943346903068564
2016-11-01,169,3,213.0,213.0,259.0,232.0,183.9692887258733,4.925851788884587
2016-11-08,231,4,169.0,213.0,213.0,259.0,184.02603698060668,-23.727679680641927
2016-11-15,198,4,231.0,169.0,213.0,213.0,184.08278523534008,17.013019619062305
2016-11-22,220,4,198.0,231.0,169.0,213.0,184.13953349007352,4.333847123894762
2016-11-29,240,4,220.0,198.0,231.0,169.0,184.19628174480687,-1.175453576400987
2016-12-06,273,4,240.0,220.0,198.0,231.0,184.2530299995403,17.279989313046848
2016-12-13,271,4,273.0,240.0,220.0,198.0,184.30977825427368,16.57197066403316
2016-12-20,278,1,271.0,273.0,240.0,220.0,184.36652650900712,29.613952015019454
2016-12-27,293,3,278.0,271.0,273.0,240.0,184.42327476374047,51.77452310959553
2017-01-03,177,2,293.0,278.0,271.0,273.0,184.4800230184739,59.43829933237669
