date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-09-01,55,1,46.0,45.0,45.0,44.0,44.0,37.70192307692308,7.646799858857236
2015-09-08,59,1,55.0,46.0,45.0,45.0,44.0,38.740384615384606,3.678109854106872
2015-09-15,52,1,59.0,55.0,46.0,45.0,45.0,39.519230769230774,5.783137798074456
2015-09-22,35,2,52.0,59.0,55.0,46.0,45.0,40.08653846153846,-12.724013745137448
2015-09-29,9,1,35.0,52.0,59.0,55.0,46.0,40.730769230769226,8.756014198830137
2015-10-06,52,2,9.0,35.0,52.0,59.0,55.0,41.42307692307692,-4.7831886264330485
2015-10-13,55,2,52.0,9.0,35.0,52.0,59.0,42.35576923076924,18.607095727790934
2015-10-20,73,3,55.0,52.0,9.0,35.0,52.0,43.41346153846153,4.657636492271349
2015-10-27,62,2,73.0,55.0,52.0,9.0,35.0,44.46153846153847,7.724202897777393
2015-11-03,52,3,62.0,73.0,55.0,52.0,9.0,45.57692307692307,10.742692380206515
2015-11-10,67,4,52.0,62.0,73.0,55.0,52.0,46.60576923076924,11.77400237545615
2015-11-17,58,3,67.0,52.0,62.0,73.0,55.0,47.54807692307693,1.4976200630134726
2015-11-24,51,3,58.0,67.0,52.0,62.0,73.0,48.56730769230769,10.19559672492978
2015-12-01,62,3,51.0,58.0,67.0,52.0,62.0,49.740384615384606,5.182034925307619
2015-12-08,50,2,62.0,51.0,58.0,67.0,52.0,51.06730769230769,-0.8828089255965932
2015-12-15,53,4,50.0,62.0,51.0,58.0,67.0,52.28846153846154,-9.970088673936703
2015-12-22,79,3,53.0,50.0,62.0,51.0,58.0,53.07692307692307,-2.675958165866555
2015-12-29,88,2,79.0,53.0,50.0,62.0,51.0,53.259615384615394,0.6854800345112819
2016-01-05,57,1,88.0,79.0,53.0,50.0,62.0,53.50000000000001,37.69755926053015
2016-01-12,46,3,57.0,88.0,79.0,53.0,50.0,54.144230769230774,-2.6107864959928286
2016-01-19,74,1,46.0,57.0,88.0,79.0,53.0,54.53846153846154,-11.56270957291591
