date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2015-03-03,54,58,48,49,66,66
2015-03-10,76,54,58,48,49,66
2015-03-17,82,76,54,58,48,49
2015-03-24,64,82,76,54,58,48
2015-03-31,72,64,82,76,54,58
2015-04-07,85,72,64,82,76,54
2015-04-14,63,85,72,64,82,76
2015-04-21,60,63,85,72,64,82
2015-04-28,66,60,63,85,72,64
2015-05-05,61,66,60,63,85,72
2015-05-12,54,61,66,60,63,85
2015-05-19,41,54,61,66,60,63
2015-05-26,46,41,54,61,66,60
2015-06-02,40,46,41,54,61,66
2015-06-09,48,40,46,41,54,61
2015-06-16,45,48,40,46,41,54
2015-06-23,45,45,48,40,46,41
2015-06-30,53,45,45,48,40,46
2015-07-07,54,53,45,45,48,40
2015-07-14,44,54,53,45,45,48
2015-07-21,35,44,54,53,45,45
2015-07-28,68,35,44,54,53,45
2015-08-04,69,68,35,44,54,53
2015-08-11,39,69,68,35,44,54
2015-08-18,53,39,69,68,35,44
2015-08-25,59,53,39,69,68,35
2015-09-01,57,59,53,39,69,68
2015-09-08,60,57,59,53,39,69
2015-09-15,73,60,57,59,53,39
2015-09-22,64,73,60,57,59,53
2015-09-29,31,64,73,60,57,59
2015-10-06,85,31,64,73,60,57
2015-10-13,60,85,31,64,73,60
2015-10-20,73,60,85,31,64,73
2015-10-27,62,73,60,85,31,64
2015-11-03,78,62,73,60,85,31
2015-11-10,78,78,62,73,60,85
2015-11-17,76,78,78,62,73,60
2015-11-24,69,76,78,78,62,73
2015-12-01,87,69,76,78,78,62
2015-12-08,91,87,69,76,78,78
2015-12-15,79,91,87,69,76,78
2015-12-22,107,79,91,87,69,76
2015-12-29,91,107,79,91,87,69
2016-01-05,82,91,107,79,91,87
2016-01-12,76,82,91,107,79,91
2016-01-19,72,76,82,91,107,79
2016-01-26,57,72,76,82,91,107
2016-02-02,66,57,72,76,82,91
2016-02-09,38,66,57,72,76,82
2016-02-16,28,38,66,57,72,76
2016-02-23,26,28,38,66,57,72
2016-03-01,21,26,28,38,66,57
2016-03-08,18,21,26,28,38,66
2016-03-15,33,18,21,26,28,38
2016-03-22,46,33,18,21,26,28
2016-03-29,51,46,33,18,21,26
2016-04-05,45,51,46,33,18,21
2016-04-12,32,45,51,46,33,18
2016-04-19,46,32,45,51,46,33
2016-04-26,65,46,32,45,51,46
2016-05-03,65,65,46,32,45,51
2016-05-10,69,65,65,46,32,45
2016-05-17,48,69,65,65,46,32
2016-05-24,31,48,69,65,65,46
2016-05-31,26,31,48,69,65,65
2016-06-07,24,26,31,48,69,65
2014-02-11,16,52,25,46,40,40
2014-02-18,46,16,52,25,46,40
2014-02-25,37,46,16,52,25,46
2014-03-04,31,37,46,16,52,25
2014-03-11,50,31,37,46,16,52
2014-03-18,43,50,31,37,46,16
2014-03-25,16,43,50,31,37,46
2014-04-01,55,16,43,50,31,37
2014-04-08,59,55,16,43,50,31
2014-04-15,52,59,55,16,43,50
2014-04-22,65,52,59,55,16,43
2014-04-29,26,65,52,59,55,16
2014-05-06,53,26,65,52,59,55
2014-05-13,44,53,26,65,52,59
2014-05-20,52,44,53,26,65,52
2014-05-27,36,52,44,53,26,65
2014-06-03,58,36,52,44,53,26
2014-06-10,58,58,36,52,44,53
2014-06-17,32,58,58,36,52,44
2014-06-24,37,32,58,58,36,52
2014-07-01,50,37,32,58,58,36
2014-07-08,55,50,37,32,58,58
2014-07-15,22,55,50,37,32,58
2014-07-22,47,22,55,50,37,32
2014-07-29,15,47,22,55,50,37
2014-08-05,49,15,47,22,55,50
2014-08-12,32,49,15,47,22,55
2014-08-19,26,32,49,15,47,22
2014-08-26,63,26,32,49,15,47
2014-09-02,59,63,26,32,49,15
2014-09-09,41,59,63,26,32,49
2014-09-16,51,41,59,63,26,32
2014-09-23,48,51,41,59,63,26
2014-09-30,34,48,51,41,59,63
2014-10-07,18,34,48,51,41,59
2014-10-14,59,18,34,48,51,41
2014-10-21,37,59,18,34,48,51
2014-10-28,51,37,59,18,34,48
2014-11-04,53,51,37,59,18,34
2014-11-11,50,53,51,37,59,18
2014-11-18,34,50,53,51,37,59
2014-11-25,55,34,50,53,51,37
2014-12-02,50,55,34,50,53,51
2014-12-09,71,50,55,34,50,53
2014-12-16,54,71,50,55,34,50
2014-12-23,63,54,71,50,55,34
2014-12-30,25,63,54,71,50,55
2015-01-06,60,25,63,54,71,50
2015-01-13,55,60,25,63,54,71
2015-01-20,47,55,60,25,63,54
2015-01-27,42,47,55,60,25,63
2015-02-03,81,42,47,55,60,25
2015-02-10,55,81,42,47,55,60
2015-02-17,69,55,81,42,47,55
2015-02-24,53,69,55,81,42,47
2015-03-03,32,53,69,55,81,42
2015-03-10,89,32,53,69,55,81
2015-03-17,49,89,32,53,69,55
2015-03-24,72,49,89,32,53,69
2015-03-31,44,72,49,89,32,53
2015-04-07,81,44,72,49,89,32
2015-04-14,35,81,44,72,49,89
2015-04-21,73,35,81,44,72,49
2015-04-28,49,73,35,81,44,72
2015-05-05,55,49,73,35,81,44
2015-05-12,54,55,49,73,35,81
2015-05-19,49,54,55,49,73,35
2015-05-26,42,49,54,55,49,73
2015-06-02,61,42,49,54,55,49
2015-06-09,70,61,42,49,54,55
2015-06-16,68,70,61,42,49,54
2015-06-23,61,68,70,61,42,49
2015-06-30,58,61,68,70,61,42
2015-07-07,77,58,61,68,70,61
2015-07-14,59,77,58,61,68,70
2015-07-21,23,59,77,58,61,68
2015-07-28,68,23,59,77,58,61
2015-08-04,79,68,23,59,77,58
2015-08-11,60,79,68,23,59,77
2015-08-18,66,60,79,68,23,59
