date,demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-11-25,12,275,1,0,0,0,1,0,0
2014-12-02,8,137,1,0,0,0,1,0,0
2014-12-09,10,172,1,0,0,0,1,0,0
2014-12-16,4,286,1,0,0,0,1,0,0
2014-12-23,10,495,1,0,0,0,1,0,0
2014-12-30,10,332,1,0,0,0,1,0,0
2015-01-06,6,248,1,0,0,0,1,0,0
2015-01-13,1,561,1,0,0,0,1,0,0
2015-01-20,5,420,1,0,0,0,1,0,0
2015-01-27,11,374,1,0,0,0,1,0,0
2015-02-03,11,258,1,0,0,0,1,0,0
2015-02-10,6,327,1,0,0,0,1,0,0
2015-02-17,3,150,1,0,0,0,1,0,0
2015-02-24,5,440,1,0,0,0,1,0,0
2015-03-03,3,554,1,0,0,0,1,0,0
2015-03-10,13,682,1,0,0,0,1,0,0
2015-03-17,3,304,1,0,0,0,1,0,0
2015-03-24,5,298,1,0,0,0,1,0,0
2015-03-31,4,423,1,0,0,0,1,0,0
2015-04-07,7,246,1,0,0,0,1,0,0
2015-04-14,3,342,1,0,0,0,1,0,0
2015-04-21,2,234,1,0,0,0,1,0,0
2015-04-28,6,333,1,0,0,0,1,0,0
2015-05-05,4,149,1,0,0,0,1,0,0
2015-05-12,3,266,1,0,0,0,1,0,0
2015-05-19,4,166,1,0,0,0,1,0,0
2015-05-26,5,424,1,0,0,0,1,0,0
2015-06-02,4,521,1,0,0,0,1,0,0
2015-06-09,21,154,1,0,0,0,1,0,0
2015-06-16,36,255,1,0,0,0,1,0,0
2015-06-23,64,290,1,0,0,0,1,0,0
2015-06-30,40,366,1,0,0,0,1,0,0
2015-07-07,31,395,1,0,0,0,1,0,0
2015-07-14,30,256,1,0,0,0,1,0,0
2015-07-21,20,170,1,0,0,0,1,0,0
2015-07-28,44,167,1,0,0,0,1,0,0
2015-08-04,44,236,1,0,0,0,1,0,0
2015-08-11,45,346,1,0,0,0,1,0,0
2015-08-18,45,250,1,0,0,0,1,0,0
2015-08-25,46,184,1,0,0,0,1,0,0
2015-09-01,55,158,1,0,0,0,1,0,0
2015-09-08,59,159,1,0,0,0,1,0,0
2015-09-15,52,110,1,0,0,0,1,0,0
2015-09-22,35,114,1,0,0,0,1,0,0
2015-09-29,9,112,1,0,0,0,1,0,0
2015-10-06,52,179,1,0,0,0,1,0,0
2015-10-13,55,161,1,0,0,0,1,0,0
2015-10-20,73,163,1,0,0,0,1,0,0
2015-10-27,62,169,1,0,0,0,1,0,0
2015-11-03,52,291,1,0,0,0,1,0,0
2015-11-10,67,285,1,0,0,0,1,0,0
2015-11-17,58,326,1,0,0,0,1,0,0
2015-11-24,51,241,1,0,0,0,1,0,0
2015-12-01,62,193,1,0,0,0,1,0,0
2015-12-08,50,279,1,0,0,0,1,0,0
2015-12-15,53,253,1,0,0,0,1,0,0
2015-12-22,79,313,1,0,0,0,1,0,0
