date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-09-02,31,149.16119185994813,25.0,20.0,31.0,17.0,6.0,38.95192307692307,-7.190473185338679
2014-09-09,57,216.67776898409556,31.0,25.0,20.0,31.0,17.0,39.480769230769226,-8.707991661412821
2014-09-16,32,135.32577063195959,57.0,31.0,25.0,20.0,31.0,39.644230769230774,0.9796180676412418
2014-09-23,44,169.62627738948876,32.0,57.0,31.0,25.0,20.0,39.942307692307686,-3.3263619468944383
2014-09-30,45,263.89250020465084,44.0,32.0,57.0,31.0,25.0,40.644230769230774,9.10483752574937
2014-10-07,6,128.52077614999587,45.0,44.0,32.0,57.0,31.0,41.134615384615394,-6.8165271041709286
2014-10-14,45,147.3543433336823,6.0,45.0,44.0,32.0,57.0,41.971153846153854,-0.11609686229635095
2014-10-21,52,244.44156065939887,45.0,6.0,45.0,44.0,32.0,42.980769230769255,9.225359020603863
2014-10-28,34,127.80122864757334,52.0,45.0,6.0,45.0,44.0,43.44230769230771,14.666173877863054
2014-11-04,59,244.582438204952,34.0,52.0,45.0,6.0,45.0,44.03846153846154,5.965963094096612
2014-11-11,59,247.29137080029238,59.0,34.0,52.0,45.0,6.0,44.894230769230774,10.45485487443273
2014-11-18,49,183.148415771314,59.0,59.0,34.0,52.0,45.0,45.576923076923066,19.616823577845768
2014-11-25,44,269.54253763020483,49.0,59.0,59.0,34.0,52.0,45.79807692307693,11.256356383822913
2014-12-02,42,137.09378685065437,44.0,49.0,59.0,59.0,34.0,45.855769230769226,11.046530215441077
2014-12-09,58,172.36733261652537,42.0,44.0,49.0,59.0,59.0,45.97115384615386,17.884780970136163
2014-12-16,56,274.01678826786844,58.0,42.0,44.0,49.0,59.0,46.09615384615386,21.082006083805613
2014-12-23,61,495.8699226951202,56.0,58.0,42.0,44.0,49.0,46.509615384615394,22.891410684654552
2014-12-30,59,327.19062223784437,61.0,56.0,58.0,42.0,44.0,47.00961538461538,45.00209733678554
2015-01-06,32,243.04366444330762,59.0,61.0,56.0,58.0,42.0,47.41346153846153,25.833937835070376
2015-01-13,44,532.5640666321978,32.0,59.0,61.0,56.0,58.0,47.83653846153846,3.3794591110140835
2015-01-20,51,398.0549685709452,44.0,32.0,59.0,61.0,56.0,48.3076923076923,6.490036034091004
2015-01-27,66,357.3140855152916,51.0,44.0,32.0,59.0,61.0,48.63461538461538,8.04292064947562
2015-02-03,66,248.08535369829758,66.0,51.0,44.0,32.0,59.0,49.32692307692307,7.893882187937157
2015-02-10,49,329.90649829564273,66.0,66.0,51.0,44.0,32.0,50.42307692307693,12.309190786535687
2015-02-17,48,143.27778209209572,49.0,66.0,66.0,51.0,44.0,51.0,-8.497125119306387
