date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-08-04,174,226.20350221911065,164.0,76.0,66.0,114.0,134.0,146.17307692307696,7.729242293517808
2015-08-11,105,338.1664309546827,174.0,164.0,76.0,66.0,114.0,146.05769230769232,26.655642009371533
2015-08-18,114,241.9945633346221,105.0,174.0,164.0,76.0,66.0,144.8269230769231,-28.27316189468422
2015-08-25,134,166.71196639574237,114.0,105.0,174.0,164.0,76.0,143.72115384615384,-16.94555554232972
2015-09-01,151,155.89001013322988,134.0,114.0,105.0,174.0,164.0,142.0769230769231,10.869230297204261
2015-09-08,131,150.36836691986392,151.0,134.0,114.0,105.0,174.0,140.1730769230769,4.414785367507466
2015-09-15,149,119.73695048369845,131.0,151.0,134.0,114.0,105.0,138.27884615384613,-2.0428646903944347
2015-09-22,120,117.56951795130188,149.0,131.0,151.0,134.0,114.0,135.9230769230769,-21.032566030347635
2015-09-29,51,119.9405160641516,120.0,149.0,131.0,151.0,134.0,134.49038461538464,-30.342780190813674
2015-10-06,132,166.95558448410063,51.0,120.0,149.0,131.0,151.0,134.05769230769232,-17.239532812818133
2015-10-13,104,153.81295664374167,132.0,51.0,120.0,149.0,131.0,133.3269230769231,-16.78051620405338
2015-10-20,226,148.7848177555266,104.0,132.0,51.0,120.0,149.0,132.875,-19.27662780041684
2015-10-27,209,156.9651965226074,226.0,104.0,132.0,51.0,120.0,132.90384615384613,24.59585034680946
2015-11-03,159,282.84526519091037,209.0,226.0,104.0,132.0,51.0,133.0,27.340123365830607
2015-11-10,188,274.86205506012084,159.0,209.0,226.0,104.0,132.0,133.25,-24.65598823053284
2015-11-17,140,319.4314017725323,188.0,159.0,209.0,226.0,104.0,133.4326923076923,12.453669403872945
2015-11-24,196,233.7686641936492,140.0,188.0,159.0,209.0,226.0,133.53846153846158,-0.6129550130033453
2015-12-01,143,177.95138626393563,196.0,140.0,188.0,159.0,209.0,133.28846153846152,18.46144621114604
2015-12-08,161,263.5010994303953,143.0,196.0,140.0,188.0,159.0,133.77884615384616,6.599949999397963
2015-12-15,186,235.7568737112083,161.0,143.0,196.0,140.0,188.0,134.3269230769231,-2.2679564687603664
2015-12-22,204,287.8915796600832,186.0,161.0,143.0,196.0,140.0,134.2980769230769,27.941060140004385
2015-12-29,237,245.01578608483214,204.0,186.0,161.0,143.0,196.0,134.18269230769232,30.23982033851272
2016-01-05,150,206.63900622114681,237.0,204.0,186.0,161.0,143.0,133.42307692307696,37.522554895995405
2016-01-12,166,261.3550678200407,150.0,237.0,204.0,186.0,161.0,132.51923076923077,-8.622907793937024
2016-01-19,156,287.03585469537586,166.0,150.0,237.0,204.0,186.0,131.83653846153842,9.66074605221683
2016-01-26,213,235.13062609889855,156.0,166.0,150.0,237.0,204.0,131.84615384615384,12.670361436832211
2016-02-02,119,552.1806749254147,213.0,156.0,166.0,150.0,237.0,132.1730769230769,64.92036143683221
2016-02-09,75,329.1364949280054,119.0,213.0,156.0,166.0,150.0,132.375,22.846163389297924
2016-02-16,53,250.36485208349444,75.0,119.0,213.0,156.0,166.0,132.28846153846158,-10.465397346417603
2016-02-23,38,345.0780772957265,53.0,75.0,119.0,213.0,156.0,131.9230769230769,-21.770547825722872
2016-03-01,105,328.67799948553056,38.0,53.0,75.0,119.0,213.0,132.0480769230769,-13.646211125540946
2016-03-08,37,314.8217189645772,105.0,38.0,53.0,75.0,119.0,132.00961538461542,10.096715318230704
2016-03-15,66,187.83679965065738,37.0,105.0,38.0,53.0,75.0,131.5480769230769,-16.31099926363866
2016-03-22,136,391.95256049918856,66.0,37.0,105.0,38.0,53.0,130.5,0.44154256474838216
2016-03-29,160,350.38261901263513,136.0,66.0,37.0,105.0,38.0,129.16346153846158,16.88318695723799
2016-04-05,105,440.6501573233557,160.0,136.0,66.0,37.0,105.0,129.8173076923077,32.64534417024041
2016-04-12,143,203.54175381900436,105.0,160.0,136.0,66.0,37.0,130.99038461538458,-2.919421693680227
2016-04-19,127,298.41944566876236,143.0,105.0,160.0,136.0,66.0,131.1730769230769,8.983761160347846
2016-04-26,163,286.86605323058114,127.0,143.0,105.0,160.0,136.0,130.14423076923077,4.858097860529762
2016-05-03,116,269.4393617719913,163.0,127.0,143.0,105.0,160.0,128.4230769230769,12.302947381224485
2016-05-10,124,337.28538930397275,116.0,163.0,127.0,143.0,105.0,126.57692307692308,-19.992587713465397
2016-05-17,109,246.00093016376846,124.0,116.0,163.0,127.0,143.0,124.31730769230772,-13.61504588507836
2016-05-24,99,304.03056532028864,109.0,124.0,116.0,163.0,127.0,122.6442307692308,-7.878529697716953
2016-05-31,197,186.44626581374862,99.0,109.0,124.0,116.0,163.0,120.97115384615385,-11.494577612919645
2016-06-07,109,299.4909135289364,197.0,99.0,109.0,124.0,116.0,119.90384615384615,26.19386165136484
2016-06-14,143,311.05292367801707,109.0,197.0,99.0,109.0,124.0,119.14423076923076,-4.848468315119918
2016-06-21,87,250.21719197175858,143.0,109.0,197.0,99.0,109.0,117.82692307692308,-0.3907982816046615
2016-06-28,82,190.6607217977681,87.0,143.0,109.0,197.0,99.0,116.5,-15.026076966038131
2016-07-05,72,248.1869542884468,82.0,87.0,143.0,109.0,197.0,114.52884615384615,-6.6325094966254605
2016-07-12,37,203.85807397795867,72.0,82.0,87.0,143.0,109.0,121.27831912602056,-27.74197147947603
2016-07-19,106,203.1415835957333,37.0,72.0,82.0,87.0,143.0,120.8531923766494,-58.66823355514478
2016-07-26,168,188.1946382345801,106.0,37.0,72.0,82.0,87.0,120.4280656272782,-37.83167511799296
2016-08-02,191,198.84217082760918,168.0,106.0,37.0,72.0,82.0,120.00293887790701,7.729242293517808
2016-08-09,79,195.35900217049183,191.0,168.0,106.0,37.0,72.0,119.57781212853584,26.655642009371533
2016-08-16,102,206.70080320383812,79.0,191.0,168.0,106.0,37.0,119.1526853791647,-28.27316189468422
2016-08-23,159,366.03849416869264,102.0,79.0,191.0,168.0,106.0,118.72755862979349,-16.94555554232972
2016-08-30,122,175.79121628399915,159.0,102.0,79.0,191.0,168.0,118.3024318804223,10.869230297204261
2016-09-06,112,176.49892546568225,122.0,159.0,102.0,79.0,191.0,117.87730513105114,4.414785367507466
2016-09-13,59,179.12926643453048,112.0,122.0,159.0,102.0,79.0,117.45217838167996,-2.0428646903944347
2016-09-20,71,289.3895129962328,59.0,112.0,122.0,159.0,102.0,117.02705163230878,-21.032566030347635
2016-09-27,168,307.54904020174666,71.0,59.0,112.0,122.0,159.0,116.60192488293761,-30.342780190813674
2016-10-04,137,185.25333005055265,168.0,71.0,59.0,112.0,122.0,116.17679813356642,-17.239532812818133
2016-10-11,118,186.942618383218,137.0,168.0,71.0,59.0,112.0,115.75167138419523,-16.78051620405338
2016-10-18,105,176.60183126047497,118.0,137.0,168.0,71.0,59.0,115.32654463482409,-19.27662780041684
2016-10-25,151,186.56891136829518,105.0,118.0,137.0,168.0,71.0,114.9014178854529,24.59585034680946
2016-11-01,25,174.81304200561692,151.0,105.0,118.0,137.0,168.0,114.47629113608171,27.340123365830607
2016-11-08,87,237.25247938910383,25.0,151.0,105.0,118.0,137.0,114.05116438671055,-24.65598823053284
2016-11-15,67,173.01701033691631,87.0,25.0,151.0,105.0,118.0,113.62603763733937,12.453669403872945
2016-11-22,95,173.6872849994055,67.0,87.0,25.0,151.0,105.0,113.20091088796819,-0.6129550130033453
2016-11-29,133,172.73441365359787,95.0,67.0,87.0,25.0,151.0,112.77578413859699,18.46144621114604
2016-12-06,92,190.5660568249821,133.0,95.0,67.0,87.0,25.0,112.35065738922584,6.599949999397963
2016-12-13,118,196.6425361804014,92.0,133.0,95.0,67.0,87.0,111.92553063985466,-2.2679564687603664
2016-12-20,134,198.64353819461132,118.0,92.0,133.0,95.0,67.0,111.5004038904835,27.941060140004385
2016-12-27,102,163.31881767666232,134.0,118.0,92.0,133.0,95.0,111.07527714111231,30.23982033851272
2017-01-03,52,194.8470083057963,102.0,134.0,118.0,92.0,133.0,110.65015039174112,37.522554895995405
