date,demand,civilians_rank,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2016-04-12,54,1,1,0,0,0,1,0,0
2016-04-19,60,4,1,0,0,0,1,0,0
2016-04-26,64,4,1,0,0,0,1,0,0
2016-05-03,53,4,1,0,0,0,1,0,0
2016-05-10,52,3,1,0,0,0,1,0,0
2016-05-17,61,3,1,0,0,0,1,0,0
2016-05-24,70,4,1,0,0,0,1,0,0
2016-05-31,77,4,1,0,0,0,1,0,0
2016-06-07,75,4,1,0,0,0,1,0,0
2014-02-11,22,2,1,0,0,0,0,1,0
2014-02-18,15,3,1,0,0,0,0,1,0
2014-02-25,27,1,1,0,0,0,0,1,0
2014-03-04,30,2,1,0,0,0,0,1,0
2014-03-11,83,3,1,0,0,0,0,1,0
2014-03-18,44,2,1,0,0,0,0,1,0
2014-03-25,29,4,1,0,0,0,0,1,0
2014-04-01,56,2,1,0,0,0,0,1,0
2014-04-08,14,4,1,0,0,0,0,1,0
2014-04-15,29,4,1,0,0,0,0,1,0
2014-04-22,46,2,1,0,0,0,0,1,0
2014-04-29,18,3,1,0,0,0,0,1,0
2014-05-06,20,3,1,0,0,0,0,1,0
2014-05-13,24,3,1,0,0,0,0,1,0
2014-05-20,48,3,1,0,0,0,0,1,0
2014-05-27,33,1,1,0,0,0,0,1,0
2014-06-03,41,2,1,0,0,0,0,1,0
2014-06-10,34,2,1,0,0,0,0,1,0
2014-06-17,16,3,1,0,0,0,0,1,0
2014-06-24,22,1,1,0,0,0,0,1,0
2014-07-01,34,2,1,0,0,0,0,1,0
2014-07-08,29,1,1,0,0,0,0,1,0
2014-07-15,20,2,1,0,0,0,0,1,0
2014-07-22,25,3,1,0,0,0,0,1,0
2014-07-29,6,2,1,0,0,0,0,1,0
2014-08-05,17,3,1,0,0,0,0,1,0
2014-08-12,31,1,1,0,0,0,0,1,0
2014-08-19,20,4,1,0,0,0,0,1,0
2014-08-26,25,2,1,0,0,0,0,1,0
2014-09-02,31,1,1,0,0,0,0,1,0
2014-09-09,57,2,1,0,0,0,0,1,0
2014-09-16,32,2,1,0,0,0,0,1,0
2014-09-23,44,1,1,0,0,0,0,1,0
2014-09-30,45,1,1,0,0,0,0,1,0
2014-10-07,6,3,1,0,0,0,0,1,0
2014-10-14,45,1,1,0,0,0,0,1,0
2014-10-21,52,2,1,0,0,0,0,1,0
2014-10-28,34,1,1,0,0,0,0,1,0
2014-11-04,59,1,1,0,0,0,0,1,0
2014-11-11,59,2,1,0,0,0,0,1,0
2014-11-18,49,3,1,0,0,0,0,1,0
2014-11-25,44,1,1,0,0,0,0,1,0
2014-12-02,42,3,1,0,0,0,0,1,0
2014-12-09,58,1,1,0,0,0,0,1,0
2014-12-16,56,2,1,0,0,0,0,1,0
2014-12-23,61,2,1,0,0,0,0,1,0
2014-12-30,59,4,1,0,0,0,0,1,0
2015-01-06,32,2,1,0,0,0,0,1,0
2015-01-13,44,1,1,0,0,0,0,1,0
2015-01-20,51,1,1,0,0,0,0,1,0
2015-01-27,66,1,1,0,0,0,0,1,0
2015-02-03,66,2,1,0,0,0,0,1,0
2015-02-10,49,3,1,0,0,0,0,1,0
2015-02-17,48,1,1,0,0,0,0,1,0
2015-02-24,58,2,1,0,0,0,0,1,0
2015-03-03,54,2,1,0,0,0,0,1,0
2015-03-10,76,1,1,0,0,0,0,1,0
2015-03-17,82,1,1,0,0,0,0,1,0
2015-03-24,64,3,1,0,0,0,0,1,0
2015-03-31,72,2,1,0,0,0,0,1,0
2015-04-07,85,1,1,0,0,0,0,1,0
2015-04-14,63,1,1,0,0,0,0,1,0
2015-04-21,60,2,1,0,0,0,0,1,0
2015-04-28,66,3,1,0,0,0,0,1,0
2015-05-05,61,3,1,0,0,0,0,1,0
2015-05-12,54,3,1,0,0,0,0,1,0
2015-05-19,41,1,1,0,0,0,0,1,0
2015-05-26,46,3,1,0,0,0,0,1,0
2015-06-02,40,1,1,0,0,0,0,1,0
2015-06-09,48,2,1,0,0,0,0,1,0
2015-06-16,45,3,1,0,0,0,0,1,0
2015-06-23,45,1,1,0,0,0,0,1,0
2015-06-30,53,4,1,0,0,0,0,1,0
2015-07-07,54,1,1,0,0,0,0,1,0
2015-07-14,44,1,1,0,0,0,0,1,0
2015-07-21,35,1,1,0,0,0,0,1,0
2015-07-28,68,2,1,0,0,0,0,1,0
2015-08-04,69,3,1,0,0,0,0,1,0
2015-08-11,39,2,1,0,0,0,0,1,0
2015-08-18,53,3,1,0,0,0,0,1,0
2015-08-25,59,2,1,0,0,0,0,1,0
2015-09-01,57,1,1,0,0,0,0,1,0
2015-09-08,60,1,1,0,0,0,0,1,0
2015-09-15,73,1,1,0,0,0,0,1,0
2015-09-22,64,2,1,0,0,0,0,1,0
2015-09-29,31,1,1,0,0,0,0,1,0
2015-10-06,85,2,1,0,0,0,0,1,0
2015-10-13,60,2,1,0,0,0,0,1,0
2015-10-20,73,3,1,0,0,0,0,1,0
2015-10-27,62,2,1,0,0,0,0,1,0
2015-11-03,78,3,1,0,0,0,0,1,0
2015-11-10,78,4,1,0,0,0,0,1,0
2015-11-17,76,3,1,0,0,0,0,1,0
2015-11-24,69,3,1,0,0,0,0,1,0
2015-12-01,87,3,1,0,0,0,0,1,0
2015-12-08,91,2,1,0,0,0,0,1,0
2015-12-15,79,4,1,0,0,0,0,1,0
2015-12-22,107,3,1,0,0,0,0,1,0
2015-12-29,91,2,1,0,0,0,0,1,0
2016-01-05,82,1,1,0,0,0,0,1,0
2016-01-12,76,3,1,0,0,0,0,1,0
2016-01-19,72,1,1,0,0,0,0,1,0
2016-01-26,57,2,1,0,0,0,0,1,0
2016-02-02,66,3,1,0,0,0,0,1,0
2016-02-09,38,3,1,0,0,0,0,1,0
2016-02-16,28,2,1,0,0,0,0,1,0
2016-02-23,26,2,1,0,0,0,0,1,0
2016-03-01,21,3,1,0,0,0,0,1,0
2016-03-08,18,1,1,0,0,0,0,1,0
