date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-08-04,12,3,226.20350221911065,22.0,3.0,11.0,16.0,8.0,31.76923076923077,-2.7748254459760924
2015-08-11,28,2,338.1664309546827,12.0,22.0,3.0,11.0,16.0,31.85576923076923,-13.725326286593685
2015-08-18,15,3,241.9945633346221,28.0,12.0,22.0,3.0,11.0,31.70192307692308,3.5415922369841035
2015-08-25,29,2,166.71196639574237,15.0,28.0,12.0,22.0,3.0,31.634615384615387,1.9815876836388204
2015-09-01,17,1,155.89001013322988,29.0,15.0,28.0,12.0,22.0,31.68269230769231,1.7965831302935344
2015-09-08,17,1,150.36836691986392,17.0,29.0,15.0,28.0,12.0,31.375,-5.452523987154316
2015-09-15,7,1,119.73695048369845,17.0,17.0,29.0,15.0,28.0,30.855769230769234,-11.653554181525244
2015-09-22,23,2,117.56951795130188,7.0,17.0,17.0,29.0,15.0,30.375,-9.816122837434634
2015-09-29,4,1,119.9405160641516,23.0,7.0,17.0,17.0,29.0,30.09615384615385,-7.962665852318379
2015-10-06,28,2,166.95558448410063,4.0,23.0,7.0,17.0,17.0,29.95192307692308,2.8266885686953094
2015-10-13,51,2,153.81295664374167,28.0,4.0,23.0,7.0,17.0,29.923076923076927,-3.4480595743935667
2015-10-20,27,3,148.7848177555266,51.0,28.0,4.0,23.0,7.0,30.02884615384616,15.568858949184225
2015-10-27,32,2,156.9651965226074,27.0,51.0,28.0,4.0,23.0,29.875000000000004,-2.3693507323661898
2015-11-03,21,3,282.84526519091037,32.0,27.0,51.0,28.0,4.0,29.68269230769231,4.067439586083396
2015-11-10,44,4,274.86205506012084,21.0,32.0,27.0,51.0,28.0,30.11538461538462,-8.351539326236251
2015-11-17,50,3,319.4314017725323,44.0,21.0,32.0,27.0,51.0,30.538461538461537,1.5884561204184657
2015-11-24,46,3,233.7686641936492,50.0,44.0,21.0,32.0,27.0,30.576923076923073,1.9899900286116436
2015-12-01,36,3,177.95138626393563,46.0,50.0,44.0,21.0,32.0,30.65384615384616,7.70242137270225
2015-12-08,54,2,263.5010994303953,36.0,46.0,50.0,44.0,21.0,30.82692307692308,3.3763911783313225
2015-12-15,37,4,235.7568737112083,54.0,36.0,46.0,50.0,44.0,31.02884615384616,3.01510457370399
2015-12-22,56,3,287.8915796600832,37.0,54.0,36.0,46.0,50.0,31.163461538461537,-2.993617928359245
2015-12-29,74,2,245.01578608483214,56.0,37.0,54.0,36.0,46.0,31.19230769230769,7.734839056757005
2016-01-05,54,1,206.63900622114681,74.0,56.0,37.0,54.0,36.0,31.45192307692308,15.787013990591207
2016-01-12,35,3,261.3550678200407,54.0,74.0,56.0,37.0,54.0,31.778846153846153,4.215852646741412
2016-01-19,64,1,287.03585469537586,35.0,54.0,74.0,56.0,37.0,31.875000000000004,-8.582224276335516
2016-01-26,47,2,235.13062609889855,64.0,35.0,54.0,74.0,56.0,32.27884615384616,19.004314185202944
2016-02-02,53,3,552.1806749254147,47.0,64.0,35.0,54.0,74.0,32.94230769230769,12.36008341597218
2016-02-09,31,3,329.1364949280054,53.0,47.0,64.0,35.0,54.0,33.394230769230774,8.322591105215118
2016-02-16,21,2,250.36485208349444,31.0,53.0,47.0,64.0,35.0,33.56730769230769,5.202723469649115
2016-02-23,27,2,345.0780772957265,21.0,31.0,53.0,47.0,64.0,33.96153846153846,-8.27611852489125
2016-03-01,16,3,328.67799948553056,27.0,21.0,31.0,53.0,47.0,34.490384615384606,1.793116403645309
2016-03-08,12,1,314.8217189645772,16.0,27.0,21.0,31.0,53.0,34.78846153846154,-7.410084565254032
2016-03-15,18,1,187.83679965065738,12.0,16.0,27.0,21.0,31.0,35.04807692307692,-0.6036701495379853
2016-03-22,29,1,391.95256049918856,18.0,12.0,16.0,27.0,21.0,35.40384615384615,-2.476742913309121
2016-03-29,35,1,350.38261901263513,29.0,18.0,12.0,16.0,27.0,35.759615384615394,11.291209963945384
2016-04-05,32,1,440.6501573233557,35.0,29.0,18.0,12.0,16.0,36.46153846153847,3.3091628411998952
2016-04-12,49,1,203.54175381900436,32.0,35.0,29.0,18.0,12.0,37.269230769230774,3.5835259748646613
2016-04-19,25,4,298.41944566876236,49.0,32.0,35.0,29.0,18.0,37.567307692307686,8.200837826478145
2016-04-26,35,4,286.86605323058114,25.0,49.0,32.0,35.0,29.0,37.89423076923076,10.151483011424963
2016-05-03,53,4,269.4393617719913,35.0,25.0,49.0,32.0,35.0,38.307692307692314,-0.21838462414104487
2016-05-10,24,3,337.28538930397275,53.0,35.0,25.0,49.0,32.0,38.596153846153854,-3.171585593040384
2016-05-17,40,3,246.00093016376846,24.0,53.0,35.0,25.0,49.0,38.625,-8.08953015168331
2016-05-24,31,4,304.03056532028864,40.0,24.0,53.0,35.0,25.0,38.307692307692314,10.71047400762248
2016-05-31,39,4,186.44626581374862,31.0,40.0,24.0,53.0,35.0,38.019230769230774,-4.470291063840962
2016-06-07,41,4,299.4909135289364,39.0,31.0,40.0,24.0,53.0,38.125,2.566892582644316
2016-06-14,21,4,311.05292367801707,41.0,39.0,31.0,40.0,24.0,38.153846153846146,0.8668967419501098
2016-06-21,22,4,250.21719197175858,21.0,41.0,39.0,31.0,40.0,38.00961538461538,-11.121560637205642
2016-06-28,35,4,190.6607217977681,22.0,21.0,41.0,39.0,31.0,37.88461538461538,-7.09719750354088
2016-07-05,23,4,248.1869542884468,35.0,22.0,21.0,41.0,39.0,37.490384615384606,-6.069629241670986
2016-07-12,14,4,203.85807397795867,23.0,35.0,22.0,21.0,41.0,38.214059082938775,-10.446747340780682
2016-07-19,42,4,203.1415835957333,14.0,23.0,35.0,22.0,21.0,38.394072742974636,-15.594568247640689
2016-07-26,52,4,188.1946382345801,42.0,14.0,23.0,35.0,22.0,38.574086403010476,-10.380209667321214
2016-08-02,29,4,198.84217082760918,52.0,42.0,14.0,23.0,35.0,38.754100063046344,-2.7748254459760924
2016-08-09,29,4,195.35900217049183,29.0,52.0,42.0,14.0,23.0,38.934113723082206,-13.725326286593685
2016-08-16,55,4,206.70080320383812,29.0,29.0,52.0,42.0,14.0,39.11412738311806,3.5415922369841035
2016-08-23,44,4,366.03849416869264,55.0,29.0,29.0,52.0,42.0,39.29414104315392,1.9815876836388204
2016-08-30,33,4,175.79121628399915,44.0,55.0,29.0,29.0,52.0,39.474154703189775,1.7965831302935344
2016-09-06,28,4,176.49892546568225,33.0,44.0,55.0,29.0,29.0,39.65416836322563,-5.452523987154316
2016-09-13,33,4,179.12926643453048,28.0,33.0,44.0,55.0,29.0,39.83418202326149,-11.653554181525244
2016-09-20,34,4,289.3895129962328,33.0,28.0,33.0,44.0,55.0,40.01419568329735,-9.816122837434634
2016-09-27,66,4,307.54904020174666,34.0,33.0,28.0,33.0,44.0,40.1942093433332,-7.962665852318379
2016-10-04,50,4,185.25333005055265,66.0,34.0,33.0,28.0,33.0,40.37422300336907,2.8266885686953094
2016-10-11,60,4,186.942618383218,50.0,66.0,34.0,33.0,28.0,40.55423666340492,-3.4480595743935667
2016-10-18,52,4,176.60183126047497,60.0,50.0,66.0,34.0,33.0,40.73425032344077,15.568858949184225
2016-10-25,50,3,186.56891136829518,52.0,60.0,50.0,66.0,34.0,40.91426398347664,-2.3693507323661898
2016-11-01,33,3,174.81304200561692,50.0,52.0,60.0,50.0,66.0,41.09427764351249,4.067439586083396
2016-11-08,35,4,237.25247938910383,33.0,50.0,52.0,60.0,50.0,41.27429130354835,-8.351539326236251
2016-11-15,26,4,173.01701033691631,35.0,33.0,50.0,52.0,60.0,41.454304963584214,1.5884561204184657
2016-11-22,40,4,173.6872849994055,26.0,35.0,33.0,50.0,52.0,41.63431862362006,1.9899900286116436
2016-11-29,53,4,172.73441365359787,40.0,26.0,35.0,33.0,50.0,41.81433228365592,7.70242137270225
2016-12-06,40,4,190.5660568249821,53.0,40.0,26.0,35.0,33.0,41.99434594369178,3.3763911783313225
2016-12-13,36,4,196.6425361804014,40.0,53.0,40.0,26.0,35.0,42.17435960372764,3.01510457370399
2016-12-20,44,1,198.64353819461132,36.0,40.0,53.0,40.0,26.0,42.35437326376349,-2.993617928359245
2016-12-27,45,3,163.31881767666232,44.0,36.0,40.0,53.0,40.0,42.53438692379935,7.734839056757005
2017-01-03,33,2,194.8470083057963,45.0,44.0,36.0,40.0,53.0,42.71440058383522,15.787013990591207
