date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-09-09,7,2,226.75540812776185,2.0,8.0,14.0,2.0,9.0,9.211538461538463,-8.00121242395586
2014-09-16,18,2,146.1602631492514,7.0,2.0,8.0,14.0,2.0,9.394230769230768,-6.04081503512425
2014-09-23,20,1,180.41576560827042,18.0,7.0,2.0,8.0,14.0,9.394230769230768,-12.30477662065162
2014-09-30,0,1,276.47272386661024,20.0,18.0,7.0,2.0,8.0,9.25,5.886389998949222
2014-10-07,3,3,139.1459922251779,0.0,20.0,18.0,7.0,2.0,9.278846153846157,-22.303853637860197
2014-10-14,11,1,152.04505023034338,3.0,0.0,20.0,18.0,7.0,9.480769230769235,3.813595033022692
2014-10-21,13,2,246.6772056028548,11.0,3.0,0.0,20.0,18.0,9.605769230769235,14.87335139621327
2014-10-28,14,1,136.31682277886873,13.0,11.0,3.0,0.0,20.0,9.634615384615387,20.282466733762824
2014-11-04,4,1,253.44086610736613,14.0,13.0,11.0,3.0,0.0,9.663461538461544,18.050556430286747
2014-11-11,10,2,257.6468447681421,4.0,14.0,13.0,11.0,3.0,9.653846153846157,21.107107665272192
2014-11-18,24,3,186.87088419911237,10.0,4.0,14.0,13.0,11.0,9.615384615384619,17.807889669488418
2014-11-25,12,1,274.94788852869914,24.0,10.0,4.0,14.0,13.0,9.557692307692312,20.48303064806361
2014-12-02,5,3,137.09312145742055,12.0,24.0,10.0,4.0,14.0,9.500000000000002,22.48829983176702
2014-12-09,20,1,172.3259357748943,5.0,12.0,24.0,10.0,4.0,9.490384615384617,1.8781844000858052
2014-12-16,9,2,285.6871746826183,20.0,5.0,12.0,24.0,10.0,9.442307692307693,-0.10693103159541197
2014-12-23,7,2,495.2882125540938,9.0,20.0,5.0,12.0,24.0,10.355769230769226,15.520133023902867
2014-12-30,13,4,332.09030297819413,7.0,9.0,20.0,5.0,12.0,12.115384615384615,11.176043233247292
2015-01-06,7,2,248.35054791827682,13.0,7.0,9.0,20.0,5.0,13.682692307692307,79.4761842118225
2015-01-13,0,1,561.4532172606861,7.0,13.0,7.0,9.0,20.0,15.25,-20.77936805094929
2015-01-20,2,1,420.0155329557245,0.0,7.0,13.0,7.0,9.0,16.78846153846154,-0.23609882018006798
2015-01-27,24,1,373.68156357895623,2.0,0.0,7.0,13.0,7.0,17.798076923076927,-13.389944974026214
2015-02-03,2,2,257.8005248936521,24.0,2.0,0.0,7.0,13.0,19.125000000000004,-17.293791127872367
2015-02-10,12,3,326.56035948676515,2.0,24.0,2.0,0.0,7.0,21.06730769230769,-7.777899159272933
2015-02-17,2,1,149.5321143636963,12.0,2.0,24.0,2.0,0.0,22.82692307692308,4.8035732951771895
2015-02-24,14,2,440.2742787602143,2.0,12.0,2.0,24.0,2.0,24.336538461538463,1.3754303650119404
2015-03-03,19,2,554.3660717559613,14.0,2.0,12.0,2.0,24.0,25.663461538461537,-0.7898920523328109
2015-03-10,17,1,682.1520523495877,19.0,14.0,2.0,12.0,2.0,27.009615384615394,1.3011957867327022
2015-03-17,20,1,303.8131549129461,17.0,19.0,14.0,2.0,12.0,28.365384615384606,5.369847728362322
2015-03-24,3,3,298.17619981454703,20.0,17.0,19.0,14.0,2.0,29.673076923076927,1.9384996699919324
2015-03-31,16,2,423.2912271239933,3.0,20.0,17.0,19.0,14.0,31.009615384615387,-12.816566337096393
2015-04-07,15,1,246.4975965335192,16.0,3.0,20.0,17.0,19.0,32.096153846153854,-10.741504139056527
2015-04-14,5,1,342.4292332945135,15.0,16.0,3.0,20.0,17.0,33.269230769230774,-12.124775274349986
2015-04-21,14,2,234.14962279554803,5.0,15.0,16.0,3.0,20.0,35.04807692307693,-12.568943845540886
2015-04-28,5,3,332.71173667702703,14.0,5.0,15.0,16.0,3.0,36.92307692307692,-10.38811241673178
2015-05-05,5,3,149.19325503302005,5.0,14.0,5.0,15.0,16.0,38.83653846153846,-17.540614321256008
2015-05-12,1,3,265.90064407708246,5.0,5.0,14.0,5.0,15.0,40.980769230769226,-14.388629046293065
2015-05-19,4,1,166.10572139187138,1.0,5.0,5.0,14.0,5.0,43.105769230769226,-19.624464284150623
2015-05-26,8,3,424.21587223399627,4.0,1.0,5.0,5.0,14.0,44.71153846153847,-13.847479009187676
2015-06-02,12,1,521.205637585472,8.0,4.0,1.0,5.0,5.0,46.22115384615386,-14.807673221404213
2015-06-09,6,2,153.58090466533105,12.0,8.0,4.0,1.0,5.0,47.93269230769232,-17.049918715672042
2015-06-16,111,3,255.08887156713573,6.0,12.0,8.0,4.0,1.0,49.451923076923094,-12.074215491991145
2015-06-23,86,1,289.82086896348864,111.0,6.0,12.0,8.0,4.0,50.95192307692307,18.789308244510273
2015-06-30,88,4,366.22390840471627,86.0,111.0,6.0,12.0,8.0,52.55769230769232,3.774626852806552
2015-07-07,89,1,395.0797204133365,88.0,86.0,111.0,6.0,12.0,54.144230769230774,8.163791614948988
2015-07-14,81,1,256.33725884144656,89.0,88.0,86.0,111.0,6.0,55.471153846153854,-0.6613619783628613
2015-07-21,39,1,170.05455882654155,81.0,89.0,88.0,86.0,111.0,57.06730769230769,-13.423979314568305
2015-07-28,118,2,167.40125553286424,39.0,81.0,89.0,88.0,86.0,58.92307692307693,-2.6064684456455467
2015-08-04,100,3,235.92941842583141,118.0,39.0,81.0,89.0,88.0,60.01923076923079,16.797580884815673
2015-08-11,94,2,346.22682005880586,100.0,118.0,39.0,81.0,89.0,60.85576923076924,0.5097621232818108
2015-08-18,79,3,250.10940562030984,94.0,100.0,118.0,39.0,81.0,62.086538461538474,-12.077917410963506
2015-08-25,81,2,184.16361515872,79.0,94.0,100.0,118.0,39.0,63.67307692307693,-3.4668789964908715
2015-09-01,69,1,158.09857216652804,81.0,79.0,94.0,100.0,118.0,65.03846153846155,-6.432763658941318
2015-09-08,81,1,159.48634255670626,69.0,81.0,79.0,94.0,100.0,66.08653846153847,-8.00121242395586
2015-09-15,80,1,109.51373860244844,81.0,69.0,81.0,79.0,94.0,67.41346153846153,-6.04081503512425
2015-09-22,97,2,113.74050490935385,80.0,81.0,69.0,81.0,79.0,68.59615384615384,-12.30477662065162
2015-09-29,36,1,111.98832726397829,97.0,80.0,81.0,69.0,81.0,69.55769230769229,5.886389998949222
2015-10-06,89,2,179.33014961084587,36.0,97.0,80.0,81.0,69.0,70.4903846153846,-22.303853637860197
2015-10-13,110,2,160.8471932462714,89.0,36.0,97.0,80.0,81.0,71.32692307692307,3.813595033022692
2015-10-20,109,3,163.4515018239031,110.0,89.0,36.0,97.0,80.0,72.41346153846153,14.87335139621327
2015-10-27,117,2,168.615227660215,109.0,110.0,89.0,36.0,97.0,73.54807692307692,20.282466733762824
