demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
73,82,58,46,60,66
97,73,82,58,46,60
110,97,73,82,58,46
125,110,97,73,82,58
98,125,110,97,73,82
115,98,125,110,97,73
77,115,98,125,110,97
90,77,115,98,125,110
86,90,77,115,98,125
81,86,90,77,115,98
67,81,86,90,77,115
91,67,81,86,90,77
95,91,67,81,86,90
78,95,91,67,81,86
93,78,95,91,67,81
85,93,78,95,91,67
84,85,93,78,95,91
86,84,85,93,78,95
59,86,84,85,93,78
64,59,86,84,85,93
12,10,6,6,8,12
5,12,10,6,6,8
19,5,12,10,6,6
9,19,5,12,10,6
8,9,19,5,12,10
29,8,9,19,5,12
9,29,8,9,19,5
7,9,29,8,9,19
3,7,9,29,8,9
4,3,7,9,29,8
12,4,3,7,9,29
4,12,4,3,7,9
7,4,12,4,3,7
3,7,4,12,4,3
8,3,7,4,12,4
10,8,3,7,4,12
11,10,8,3,7,4
12,11,10,8,3,7
10,12,11,10,8,3
4,10,12,11,10,8
7,4,10,12,11,10
7,7,4,10,12,11
3,7,7,4,10,12
12,3,7,7,4,10
7,12,3,7,7,4
9,7,12,3,7,7
2,9,7,12,3,7
14,2,9,7,12,3
8,14,2,9,7,12
2,8,14,2,9,7
7,2,8,14,2,9
18,7,2,8,14,2
20,18,7,2,8,14
1,20,18,7,2,8
3,1,20,18,7,2
11,3,1,20,18,7
13,11,3,1,20,18
14,13,11,3,1,20
4,14,13,11,3,1
10,4,14,13,11,3
24,10,4,14,13,11
12,24,10,4,14,13
5,12,24,10,4,14
20,5,12,24,10,4
9,20,5,12,24,10
7,9,20,5,12,24
13,7,9,20,5,12
7,13,7,9,20,5
1,7,13,7,9,20
2,1,7,13,7,9
24,2,1,7,13,7
2,24,2,1,7,13
12,2,24,2,1,7
2,12,2,24,2,1
14,2,12,2,24,2
19,14,2,12,2,24
17,19,14,2,12,2
20,17,19,14,2,12
3,20,17,19,14,2
16,3,20,17,19,14
15,16,3,20,17,19
5,15,16,3,20,17
14,5,15,16,3,20
5,14,5,15,16,3
